permno,full_name,Beg_Dat,gvkey,sic,industry,LastPrice,In_Reduced,datadate,prcc_f,mkvalt,bkvlps,epspx,at,ni,btm,etm
10253,DOCUMENT SECURITY SYS-OLD,1986-05-14,12200,3555,"Printing Trades Machy, Equip",0.177000001072884,0,2012-12-31,2.17,47.10202,0.4019,-0.21,14.25,-4.281,2.2706214551632,-1.1864406707745
11018,FIRST BANCORP P R,1987-01-13,16821,6020,"Commercial Banks",3.5699999332428,0,2015-12-31,3.25,699.03925,7.7086,0.1,12573.019,21.297,2.15927174906077,0.0280112050055881
11394,THERMOGENESIS HOLDINGS INC,1987-06-05,13794,3821,"Lab Apparatus and Furniture",0.203099995851517,0,2015-06-30,0.85,34.4267,0.8617,-0.37,50.757,-14.852,4.24273765436201,-1.82176271569449
13769,AMERICAN SHARED HSPTL SERV,1984-07-03,1559,8090,"Misc Health and Allied Svc,Nec",1.50999999046326,1,2015-12-31,1.84,9.86976,3.7528,-0.28,54.114,-1.522,2.48529802894148,-0.185430464747286
18148,SPHERIX INC  -OLD,1972-12-14,2237,2836,"Biological Pds, Ex Diagnstics",0.150000005960464,1,2012-12-31,6.826,5.556364,1.0491,-10.56,4.756,-3.857,6.99399972208344,-70.3999972025557
38746,AMREP CORP,1962-12-12,1618,6552,"Subdivide, Dev, Ex Cemetery",4.3899998664856,1,2015-04-30,5.11,41.16616,11.584,-0.45,138.729,11.32,2.63872445382864,-0.102505697878357
49488,LSB INDUSTRIES INC,1969-11-04,6528,2810,"Indl Inorganic Chemicals",7.84999990463257,1,2015-12-31,7.25,169.621,16.3945,-1.67,1361.827,-34.765,2.08847136295187,-0.212738856087689
50606,TIDEWATER INC,1970-05-19,10565,4400,"Water Transportation",7.05000019073486,1,2015-03-31,19.14,900.13506,52.6162,-1.34,4756.162,-65.19,7.46329057822558,-0.190070916843525
75033,VOXX INTERNATIONAL CORP,1987-05-29,13354,3651,"Household Audio and Video Eq",6.01999998092651,0,2015-02-28,8.6,207.561,16.4135,-0.04,677.513,-0.942,2.7264950252498,-0.00664451829347743
75326,ARCH RESOURCES INC,1988-08-11,14793,1220,"Bituminous Coal, Lignite Mng",0.949899971485138,0,2014-12-31,1.78,377.84772,7.8585,-2.63,8429.723,-558.353,8.27297635109251,-2.76871257916566
76798,EZCORP INC  -CL A,1991-08-27,24430,5900,"Miscellaneous Retail",5.25,1,2015-09-30,6.17,331.30432,12.6031,-1.09,1212.23,-86.449,2.40059047619048,-0.207619047619048
77186,E COM VENTURES INC,1991-12-19,24776,5912,"Drug and Proprietary Stores",2.51999998092651,1,2009-01-31,19.25,172.5955,8.9093,-15.41,400.13,-86.96,3.53543653469568,-6.11507941136345
78172,BLACK BOX CORP,1992-12-16,26012,7370,"Cmp Programming, Data Process",9.44999980926514,1,2015-03-31,20.93,321.58945,21.9402,1,686.259,15.342,2.3217143325748,0.105820107955935
78451,OPPENHEIMER HOLDINGS INC,1982-11-01,13453,6211,"Security Brokers and Dealers",17.3700008392334,1,2015-12-31,17.38,231.81444,38.8408,0.14,2692.964,1.962,2.23608509633867,0.00805987295543382
79039,U S ENERGY CORP/WY,1975-02-26,10938,1311,"Crude Petroleum and Natural Gs",0.19370000064373,1,2015-12-31,0.1625,4.5825,0.5488,-2.4,33.132,-92.896,2.8332472802073,-12.3902942283118
79444,TALOS ENERGY INC,1993-07-09,28564,1311,"Crude Petroleum and Natural Gs",4.17000007629395,0,2014-12-31,16.88,926.17184,20.0773,-3.6,3018.611,-189.543,4.81470015171883,-0.863309336722955
81124,EMERSON RADIO CORP,1994-12-22,4322,3651,"Household Audio and Video Eq",0.91210001707077,0,2015-03-31,1.32,35.8116,2.0096,0.07,62.163,1.893,2.20326714437949,0.0767459694001614
81165,MIND TECHNOLOGY INC,1994-12-19,31214,3829,"Meas and Controlling Dev, Nec",3.22000002861023,1,2015-01-31,5.61,67.79124,12.1213,-0.74,179.611,-9.192,3.76437884854045,-0.229813662554341
81184,UNVL STAINLESS & ALLOY PRODS,1994-12-14,31170,3312,"Steel Works and Blast Furnaces",8.86999988555908,1,2015-12-31,9.29,66.06119,26.0128,-2.92,298.555,-20.672,2.93267196568407,-0.329199553289053
83244,CENTURY ALUMINUM CO,1996-03-29,62516,3350,"Rolling and Draw Nonfer Metal",4.75,1,2015-12-31,4.42,384.70796,11.6945,-0.68,1752.468,-59.31,2.462,-0.143157894736842
85757,AEROCENTURY CORP,1998-01-16,66301,7359,"Equip Rental and Leasing, Nec",11.8999996185303,0,2015-12-31,12.7,19.9009,26.3427,4.17,181.025,6.438,2.21367233986966,0.350420179300393
89317,TRANSCONTINENTAL RLTY INVS,1986-09-10,3410,6512,"Operators-Nonres Bldgs",9.53999996185303,1,2015-12-31,10.3,89.7954,22.568,-1.08,1110.204,-7.636,2.36561845809656,-0.113207547622487
89471,LEAPFROG ENTERPRISES INC,2002-07-25,148410,3944,"Games,Toys,Chld Veh,Ex Dolls",0.748399972915649,0,2015-03-31,2.18,153.64204,2.9304,-3.12,260.192,-218.772,3.91555332182018,-4.16889379063573
89901,WHITING PETROLEUM CORP,2003-11-20,155393,1311,"Crude Petroleum and Natural Gs",10.0799999237061,1,2015-12-31,9.44,1927.15712,23.2704,-11.35,11389.085,-2219.182,2.30857144604463,-1.12599207201452
90077,SUNSET FINANCIAL RES INC,2004-03-17,175674,6211,"Security Brokers and Dealers",1.23000001907349,1,2015-12-31,1.16,15.48716,2.9777,-0.28,308.825,-4.079,2.42089427140252,-0.227642272892738
90162,GENWORTH FINANCIAL INC,2004-05-25,158354,6311,"Life Insurance",3.9300000667572,1,2015-12-31,3.73,1857.54,25.751,-0.42,106431,-615,6.55241719149592,-0.106870227192276
90494,HIGHPOINT RESOURCES CORP,2004-12-10,162459,1311,"Crude Petroleum and Natural Gs",4.19999980926514,1,2015-12-31,3.93,190.18449,11.3532,-10.1,1515.229,-487.771,2.70314297990086,-2.40476201396951
