permno,full_name,Beg_Dat,gvkey,sic,industry,LastPrice,In_Reduced,datadate,prcc_f,mkvalt,bkvlps,epspx,at,ni,btm,etm
10421,SKYWEST INC,1986-06-26,12392,4512,"Air Transport, Scheduled",12.3000001907349,1,2012-12-31,12.46,640.85518,26.9705,1,4254.637,51.157,2.19272354323342,0.0813008117474063
10507,MEDICAL ACTION INDUSTRIES,1986-07-22,7205,3842,"Ortho,Prosth,Surg Appl,Suply",2.69000005722046,1,2012-03-31,5.72,93.75652,9.0786,-0.02,297.144,0.181,3.37494416612793,-0.00743494407976546
10645,LAKELAND INDUSTRIES INC,1986-09-09,12597,3842,"Ortho,Prosth,Surg Appl,Suply",4.98999977111816,1,2012-01-31,9.42,49.2195,14.0224,0.21,102.405,-0.377,2.81010032929478,0.0420841702669945
43617,AMERICAN INDEPENDENCE CORP,1966-08-01,10451,6324,"Hospital and Medical Svc Plans",4.56699991226196,1,2012-12-31,5,41.36,12.5909,1.16,158.983,9.592,2.7569302040481,0.253996063561444
56822,NATIONAL WESTERN LIFE GROUP,1972-12-14,17073,6311,"Life Insurance",156.630004882812,1,2012-12-31,157.74,573.3849,382.8556,25.46,10263.858,92.558,2.44433115025723,0.162548676539012
61955,PENN VIRGINIA CORP,1972-12-14,8440,1311,"Crude Petroleum and Natural Gs",4.34999990463257,1,2012-12-31,4.41,242.10459,14.21,-2.22,1842.989,-104.589,3.26666673828359,-0.510344838774776
65008,AMTECH SYSTEMS INC,1983-08-02,8864,3559,"Special Industry Machy, Nec",3.12199997901917,1,2012-09-30,3.31,31.39204,8.7221,-2.43,129.022,-23.031,2.7937540226186,-0.778347218555532
75033,VOXX INTERNATIONAL CORP,1987-05-29,13354,3651,"Household Audio and Video Eq",6.53999996185303,0,2012-02-29,12.79,295.92223,18.2304,1.11,634.179,25.649,2.78752295203908,0.169724771632184
76415,PAULSON CAPITAL CORP,1990-04-23,21499,6211,"Security Brokers and Dealers",0.800000011920929,1,2012-12-31,0.8,4.6136,2.2228,-0.07,13.34,-0.396,2.77849995859712,-0.0874999986961484
77011,ZOOM TECHNOLOGIES INC -OLD,1990-09-27,23197,3661,"Tele and Telegraph Apparatus",0.570100009441376,1,2008-12-31,0.46,0.85974,2.6522,-2.23,6.568,-4.16,4.65216620957227,-3.91159439233322
77425,USA TRUCK INC,1992-03-19,25069,4213,"Trucking, Except Local",3.33999991416931,1,2012-12-31,3.45,35.99385,10.4888,-1.71,331.494,-17.671,3.14035936213749,-0.511976061060856
77722,TECUMSEH PRODUCTS CO,1992-06-01,10386,3585,"Air-Cond, Heating, Refrig Eq",4.5,0,2012-12-31,4.62,85.3776,13.9827,1.25,527.9,22.6,3.10726666666667,0.277777777777778
78050,BOOKS-A-MILLION INC,1992-11-03,25896,5940,"Misc Shopping Goods Stores",2.52999997138977,0,2012-01-31,2.43,38.23362,7.2828,-0.16,296.152,-2.823,2.87857710765089,-0.0632411074345228
79039,U S ENERGY CORP/WY,1975-02-26,10938,1311,"Crude Petroleum and Natural Gs",1.51999998092651,0,2012-12-31,1.5,41.4795,4.1991,-0.34,140.827,-11.245,2.76256582413932,-0.223684213333183
79066,NEW CONCEPT ENERGY INC,1993-03-25,11372,6512,"Operators-Nonres Bldgs",1.20000004768372,0,2012-12-31,1.22,2.37534,3.3621,0.09,12.484,0.168,2.80174988866845,0.0749999970197676
80237,AROTECH CORP,1994-02-24,29762,3690,"Misc Elec Machy,Eq,Supplies",1.04999995231628,0,2012-12-31,1.03,16.63553,2.3789,-0.14,77.88,-3.017,2.26561915050776,-0.133333339388409
80274,SIGMATRON INTERNATIONAL INC,1994-02-09,29698,3672,"Printed Circuit Boards",4.11999988555908,0,2012-04-30,3.77,14.7407,13.0488,0.29,99.147,1.134,3.16718455399406,0.0703883514697349
80633,HMN FINANCIAL INC,1994-06-30,30416,6035,"Savings Instn,Fed Chartered",3.47000002861023,0,2012-12-31,3.4713,15.3570312,7.8739,0.88,653.327,5.321,2.26913542797681,0.253602303384547
81148,CAMCO FINANCIAL CORP,1994-12-30,31276,6036,"Savings Instn, Not Fed Chart",2.02999997138977,0,2012-12-31,2.04,26.99532,4.5135,0.5,764.259,4.163,2.22339904611426,0.246305422190569
81588,TAITRON COMPONENTS  -CL A,1995-04-19,31738,5065,"Electronic Parts,Eq-Whsl,Nec",0.990100026130676,0,2012-12-31,1.02,5.6508,3.1879,-0.14,20.407,-0.739,3.21977569524804,-0.141399854868323
82768,BLONDER TONGUE LABS INC,1995-12-14,61712,3663,"Radio, TV Broadcast, Comm Eq",1.12000000476837,1,2012-12-31,1.15,7.14955,2.6741,-0.83,26.303,-5.157,2.38758927554919,-0.741071425416337
82775,HARTFORD FINANCIAL SERVICES,1995-12-20,61739,6331,"Fire, Marine, Casualty Ins",22.1599998474121,0,2012-12-31,22.44,9790.70664,50.13,-0.17,298513,-38,2.26218413110027,-0.00767148019722812
82812,BROADWAY FINANCIAL CORP/DE,1996-01-09,61815,6035,"Savings Instn,Fed Chartered",0.771099984645844,0,2010-12-31,2.43,4.23792,8.7775,0.44,483.93,1.915,11.3830893201631,0.570613420777185
82839,PERFORMANCE TECHNOLOGIES INC,1996-01-25,61903,3576,"Computer Communications Equipment",0.79009997844696,1,2012-12-31,0.8149,9.0584284,2.2508,-0.64,31.516,-7.138,2.84875340007505,-0.810024069685459
83239,BBX CAPITAL CORP -OLD,1996-03-12,16681,6035,"Savings Instn,Fed Chartered",6.63000011444092,0,2012-12-31,6.7,105.6791,15.2364,-1.81,470.703,235.762,2.29809950784365,-0.273001503583327
84746,MEADE INSTRUMENTS CORP,1997-04-09,64595,3827,"Optical Instruments and Lenses",1.67999994754791,1,2012-02-29,3.4,3.9678,8.7266,-1.22,13.393,-1.421,5.19440492408178,-0.72619049886322
85559,INTERVEST BANCSHARES CORP,1997-11-25,65971,6020,"Commercial Banks",3.84999990463257,1,2012-12-31,3.89,83.9851,8.6126,0.48,1665.792,12.222,2.23703901645212,0.124675327763627
85724,PERDOCEO EDUCATION CORP,1998-01-29,66379,8200,"Educational Services",3.30999994277954,1,2012-12-31,3.5129,235.610203,9.1217,-2.03,1122.703,-142.796,2.75580065186954,-0.613293061961604
85728,EASTERN VA BANKSHARES INC,1998-01-02,66148,6020,"Commercial Banks",5,1,2012-12-31,5.4,32.778,12.473,0.32,1075.553,3.452,2.4946,0.064
