permno,full_name,Beg_Dat,gvkey,sic,industry,LastPrice,In_Reduced,datadate,prcc_f,mkvalt,bkvlps,epspx,at,ni,btm,etm
12005,DATRON SYSTEMS INC/DE,1985-03-26,3796,3663,"Radio, TV Broadcast, Comm Eq",8.625,0,1997-03-31,9.125,24.263375,12.2633,0.1,56.476,0.268,1.42183188405797,0.0115942028985507
13152,AMERICAN INDTY FINL CORP,1977-04-01,16647,6331,"Fire, Marine, Casualty Ins",13.25,0,1997-12-31,13.875,27.22275,20.2166,-3,161.649,-5.881,1.52578113207547,-0.226415094339623
13769,AMERICAN SHARED HSPTL SERV,1984-07-03,1559,8090,"Misc Health and Allied Svc,Nec",1.75,0,1991-12-31,5,13.76,2.6134,0.01,75.723,1.988,1.49337142857143,0.00571428571428571
24193,COAST DISTRIBUTION SYSTEMS,1983-12-13,3129,5013,"Motor Veh Suply,New Pts-Whsl",3.0625,0,1997-12-31,3.125,16.396875,6.4791,-1.01,72.663,-5.279,2.11562448979592,-0.329795918367347
32299,GOLDFIELD CORP,1962-07-02,5218,1623,"Water,Sewer,Pipeline Constr",0.3125,1,1997-12-31,0.31199998,8.3787594629,0.4653,0.01,13.967,0.414,1.48896,0.032
33937,MAINE & MARITIMES CORP,1962-07-02,6963,4911,"Electric Services",11.875,1,1997-12-31,12.125,19.606125,21.2103,-1.35,163.481,-2.177,1.78613052631579,-0.113684210526316
37402,FOSTER (LB) CO,1981-06-09,4860,5051,"Metals Service Centers-Whsl",4.9375,0,1997-12-31,4.93699932,49.70077215444,7.0039,0.32,126.969,3.287,1.41851139240506,0.0648101265822785
38746,AMREP CORP,1962-12-12,1618,6552,"Subdivide, Dev, Ex Cemetery",5.625,1,1997-04-30,3.625,26.712625,10.2909,0.99,205.311,7.282,1.82949333333333,0.176
43028,SAUCONY INC  -CL B,1982-11-05,5802,3021,"Rubber and Plastics Footwear",3.875,1,1997-12-31,4,25.004,7.2433,-0.62,61.624,-4.718,1.86923870967742,-0.16
44206,EVERSOURCE ENERGY,1967-02-20,7970,4931,"Electric and Other Serv Comb",11.75,0,1997-12-31,11.81199932,1537.72150747556,16.108,-1.01,10414.4,-99.676,1.37089361702128,-0.0859574468085106
44708,FARAH INC,1967-07-17,4573,2320,"Mens,Boys Frnsh, Work Clthng",5.1875,1,1997-10-31,5.81199932,59.74154101028,8.0469,0.03,175.592,0.27,1.55120963855422,0.00578313253012048
45823,PENOBSCOT SHOE,1968-03-05,8460,3140,"Footwear, Except Rubber",5.5,1,1997-11-30,6,8.31,7.7141,0.32,12.571,0.444,1.40256363636364,0.0581818181818182
48637,CONCORD FABRICS INC  -CL A,1969-06-25,3375,2250,"Knitting Mills",8.875,1,1997-08-31,7.18699932,26.3403525078,12.0677,0.92,73.034,3.359,1.35974084507042,0.103661971830986
49584,ALBA-WALDENSIAN INC,1969-11-25,1235,2250,"Knitting Mills",4.625,0,1997-12-31,4.625,8.634875,14.6818,-0.2,43.619,-0.377,3.17444324324324,-0.0432432432432432
58376,AYDIN CORP,1975-04-09,1923,3663,"Radio, TV Broadcast, Comm Eq",11.8125,1,1997-12-31,11.81199932,61.52870445788,17.1515,-0.33,112.055,-1.692,1.45197883597884,-0.0279365079365079
67029,ITERIS INC,1984-11-07,8087,8711,"Engineering Services",5.0625,1,1997-03-31,13.125,83.7375,8.1235,0.55,100.938,3.73,1.60464197530864,0.108641975308642
67300,ROBINSON NUGENT INC,1978-10-20,9186,3678,"Electronic Connectors",4.25,0,1997-06-30,5.875,28.7405,6.3655,0.48,49.696,2.355,1.49776470588235,0.112941176470588
68398,ECC INTERNATIONAL CP,1980-02-21,4223,3690,"Misc Elec Machy,Eq,Supplies",3.1875,0,1997-06-30,5.25,42.24675,5.66,-0.57,82.034,-8.535,1.7756862745098,-0.178823529411765
69307,COMPUTRAC INC,1983-07-19,3354,7373,"Cmp Integrated Sys Design",0.875,0,1997-01-31,2,12.532,1.4309,-0.11,9.882,-0.668,1.63531428571429,-0.125714285714286
72486,STANDARD MICROSYSTEMS CORP,1972-12-14,9999,3674,"Semiconductor,Related Device",8.5,1,1997-02-28,8.5,117.946,12.3809,-1.54,234.056,-21.297,1.45657647058824,-0.181176470588235
74406,TRC COS INC,1978-07-12,10297,8711,"Engineering Services",3.875,0,1997-06-30,4,26.752,6.4061,-0.07,62.29,-0.505,1.65318709677419,-0.0180645161290323
80857,VILLAGE SUPER MARKET  -CL A,1972-12-14,11178,5411,"Grocery Stores",10.15625,0,1997-07-31,8.75,25.4625,19.6155,0.71,132.764,2.074,1.93137230769231,0.0699076923076923
87127,CYPRUS AMAX MINERALS CO,1985-05-30,11993,1000,"Metal Mining",15.125,1,1997-12-31,15.375,1437.28575,22.4298,0.54,6459,69,1.48296198347107,0.035702479338843
91687,SANDS REGENT,1985-01-31,9397,7990,"Misc Amusement and Rec Service",1.75,0,1997-06-30,3.125,14.059375,7.2136,-0.17,61.053,-0.762,4.12205714285714,-0.0971428571428572
