permno,full_name,Beg_Dat,gvkey,sic,industry,LastPrice,In_Reduced,datadate,prcc_f,mkvalt,bkvlps,epspx,at,ni,btm,etm
10514,KASPIEN HOLDINGS INC,1986-07-24,12421,5961,"Catalog, Mail-Order Houses",7.21000003814697,0,2003-01-31,3.19,124.22498,10.0689,-0.79,803.396,-45.47,1.39651871660569,-0.109570041029159
10568,SERVIDYNE INC,1982-06-29,1082,8700,"Engr,Acc,Resh,Mgmt,Rel Svcs",4,0,2003-04-30,3.96,11.53944,7.2951,-0.58,73.797,-1.074,1.823775,-0.145
11622,PROVENA FOODS INC,1987-08-20,13798,2013,"Sausage,Oth Prepared Meat Pd",1.28999996185303,0,2003-12-31,1.32,4.2372,2.9947,0.01,25.187,0.018,2.32147293686601,0.00775193821373097
12248,PROVIDENCE AND WORCESTER RR,1988-08-10,14616,4011,"Railroads,Line-Haul Operatng",8.75,1,2003-12-31,8.89,39.62273,15.4048,0.15,90.619,0.668,1.76054857142857,0.0171428571428571
15748,AULT INC,1983-08-25,1866,3679,"Electronic Components, Nec",2.5,1,2003-05-31,1.95,9.0636,3.7261,-1.67,33.065,-7.564,1.49044,-0.668
36281,SEABOARD CORP,1962-07-02,9538,9997,"Industrial Conglomerates",264,1,2003-12-31,282,353.91,414.7928,23.08,1325.691,31.842,1.57118484848485,0.0874242424242424
46042,ISRAMCO INC,1983-08-16,6194,1311,"Crude Petroleum and Natural Gs",6.21500015258789,0,2003-12-31,6.169,16.28616,11.3186,0.95,32.614,2.256,1.8211745329221,0.152855989811107
47677,CINCINNATI BELL INC,1969-02-06,3036,4813,"Phone Comm Ex Radiotelephone",5.09999990463257,1,2001-12-31,9.5,2071.646,7.1033,-1.36,6312,-286.2,1.39280394761336,-0.266666671653199
49429,DILLARDS INC  -CL A,1969-10-27,3964,5311,"Department Stores",16.0799999237061,1,2003-01-31,15,1271.37,26.7137,1.61,6675.932,-398.405,1.66129975912606,0.100124378584507
50243,SERVOTRONICS INC,1970-03-11,9619,3621,"Motors and Generators",2.92499995231628,1,2003-12-31,2.9,5.9392,5.9614,0.13,19.941,0.254,2.0380855033106,0.0444444451689834
51693,MARSH SUPERMARKETS  -CL B,1972-12-14,7066,5411,"Grocery Stores",10.75,0,2003-03-31,10.6,84.2382,16.5406,0.5,554.88,3.691,1.53866046511628,0.0465116279069767
64020,LUBYS INC,1973-01-31,6831,5812,"Eating Places",3.5,1,2003-08-31,2.45,55.0172,5.8742,-0.11,279.881,-33.094,1.67834285714286,-0.0314285714285714
65429,TRINITY PLACE HOLDINGS INC,1983-09-23,10235,6512,"Operators-Nonres Bldgs",6.94999980926514,1,2003-02-28,7.43,114.68205,14.9112,-0.58,262.473,-9.035,2.14549646175841,-0.0834532397003514
71175,UNUM GROUP,1986-11-06,12726,6321,"Accident and Health Insurance",15.3999996185303,1,2003-12-31,15.77,4670.19088,24.5522,-0.96,49718.3,-386.4,1.59429874079069,-0.0623376638818136
75069,INCOME OPPORTUNITY RLTY INVS,1987-05-20,12956,6162,"Mortgage Bankers and Loan Corr",15.5,0,2003-12-31,15.42,22.18938,26.861,-0.03,101.093,1.782,1.73296774193548,-0.00193548387096774
75176,MERCHANTS GROUP INC,1986-11-21,13532,6331,"Fire, Marine, Casualty Ins",23.2999992370605,1,2003-12-31,23.82,50.2602,33.2981,2.07,272.266,4.365,1.42910305108666,0.088841204625771
75578,MERCER INTL INC,1988-07-19,14563,2611,"Pulp Mills",6.30000019073486,1,2003-12-31,6.35,108.585,9.787,-0.26,1178.96,-4.526,1.55349201645951,-0.0412698400203814
76052,PERMA-PIPE INTERNATIONAL HOL,1989-12-14,19431,3490,"Misc Fabricated Metal Prods",2.34999990463257,0,2003-01-31,1.67,8.21974,5.4067,-0.15,78.976,-11.528,2.30072349762302,-0.0638297898243757
76623,OUTLOOK GROUP CORP,1991-04-24,23948,2750,"Commercial Printing",4.98999977111816,1,2003-05-31,5.01,16.84863,8.9946,-0.1,39.769,-0.567,1.80252513277861,-0.0200400810795212
76670,MARSH SUPERMARKETS  -CL B,1991-05-28,7066,5411,"Grocery Stores",10.8699998855591,0,2003-03-31,10.6,84.2382,16.5406,0.5,554.88,3.691,1.52167434904708,0.0459981605578722
76774,AG SERVICES OF AMERICA,1991-08-06,24375,5190,"Misc Nondurable Goods-Whsl",8.44999980926514,1,2003-02-28,7.39,40.4972,14.1808,1.08,282.668,5.898,1.6782012213126,0.127810653772538
77262,T-3 ENERGY SERVICES INC,1992-01-16,24841,3533,"Oil and Gas Field Machy, Equip",6,1,2003-12-31,5.8,61.3756,9.6736,-1.6,145.537,-28.279,1.61226666666667,-0.266666666666667
77403,UNITED RETAIL GROUP INC,1992-03-11,25020,5621,"Women's Clothing Stores",2.5,0,2003-01-31,2.82,36.48234,7.6521,-1.77,179.309,-23.077,3.06084,-0.708
77637,FRANKLIN COVEY CO,1992-06-03,25331,8200,"Educational Services",2.79999995231628,1,2003-08-31,1.4,28.0686,4.8017,-2.69,259.741,-45.253,1.71489288634731,-0.960714302075154
77880,PRIME HOSPITALITY CORP,1992-08-27,8750,7011,"Hotels and Motels",10,1,2003-12-31,10.2,456.4704,15.2175,-0.53,1007.305,-24.475,1.52175,-0.053
78044,UNIFI INC,1972-12-22,10839,2200,"Textile Mill Products",6.30999994277954,1,2003-06-30,6.2,331.0738,8.9842,-0.51,988.136,-27.177,1.42380349944068,-0.0808240894809495
