permno,full_name,Beg_Dat,gvkey,sic,industry,LastPrice,In_Reduced,datadate,prcc_f,mkvalt,bkvlps,epspx,at,ni,roe,dte,btm,etm
10507,MEDICAL ACTION INDUSTRIES,1986-07-22,7205,3842,"Ortho,Prosth,Surg Appl,Suply",2.69000005722046,1,2011-03-31,8.4,137.6172,9.0476,0.32,304.505,4.354,0.0293738657599493,1.05431534065993,3.3634200028043,0.118959105276247
10645,LAKELAND INDUSTRIES INC,1986-09-09,12597,3842,"Ortho,Prosth,Surg Appl,Suply",4.98999977111816,1,2011-01-31,8.85,46.4979,14.1163,0.18,101.376,0.972,0.013105559076139,0.366861272533607,2.82891796542845,0.0360721459431381
11513,FIRST FINANCIAL SERVICE CORP,1987-07-15,16824,6035,"Savings Instn,Fed Chartered",2.08999991416931,1,2011-12-31,1.53,7.26597,7.0463,-5.11,1228.778,-23.161,-0.433215494828199,21.9837083590521,3.37143554515437,-2.44497617696363
11750,ROYAL BANCSHARES/PA  -CL A,1987-09-04,17168,6020,"Commercial Banks",1.12000000476837,0,2011-12-31,1.25,16.18125,3.142,-0.8,848.448,-8.563,-0.120469893078222,10.868078221722,2.80535713091341,-0.714285711244662
24193,COAST DISTRIBUTION SYSTEMS,1983-12-13,3129,5013,"Motor Veh Suply,New Pts-Whsl",1.99000000953674,1,2011-12-31,2.25,10.7595,6.3204,-0.2,47.736,-0.886,-0.0293144520910535,0.579407093700371,3.17608038678922,-0.100502512081173
37832,FROZEN FOOD EXPRESS INDS,1972-12-14,4918,4213,"Trucking, Except Local",0.889999985694885,1,2011-12-31,1.29,22.69368,2.4387,-2.08,126.404,-36.67,-0.854738706820195,1.94634282784019,2.74011240359283,-2.33707868924964
43617,AMERICAN INDEPENDENCE CORP,1966-08-01,10451,6324,"Hospital and Medical Svc Plans",4.56699991226196,1,2011-12-31,3.871,32.020912,11.3623,0.29,132.78,2.494,0.0265350200555384,0.412718509612827,2.48791333879672,0.0634990158903611
44951,SUPERVALU INC,1967-09-13,10190,5141,"Groceries, General Line-Whsl",2.40000009536743,1,2011-02-28,8.63,1829.56,6.3208,-7.13,13758,-1510,-1.12686567164179,9.26716417910448,2.63366656201416,-2.97083321528303
60709,NEVADA GOLD & CASINOS INC,1979-03-19,8266,7990,"Misc Amusement and Rec Service",0.810000002384186,0,2011-04-30,1.6899,21.6256503,2.3729,-0.04,49.02,-0.487,-0.0160376737140223,0.614305473226635,2.92950616421668,-0.0493827159040277
61955,PENN VIRGINIA CORP,1972-12-14,8440,1311,"Crude Petroleum and Natural Gs",4.34999990463257,1,2011-12-31,5.29,240.6421,18.6043,-2.9,1943.053,-132.915,-0.157052565906779,1.29591437642752,4.27685066847638,-0.666666681282365
