permno,full_name,Beg_Dat,gvkey,sic,industry,LastPrice,In_Reduced,datadate,prcc_f,mkvalt,bkvlps,epspx,at,ni,roe,dte,btm,etm
11394,THERMOGENESIS HOLDINGS INC,1987-06-05,13794,3821,"Lab Apparatus and Furniture",0.203099995851517,1,2014-06-30,1.39,55.87939,1.2114,-0.36,62.888,-8.631,-0.1772352047312,0.291387736662697,5.96454960484408,-1.77252588554059
15721,ATWOOD OCEANICS,1972-12-14,1860,1381,"Drilling Oil and Gas Wells",10.9799995422363,0,2014-09-30,43.69,2811.97578,39.7055,5.31,4507.228,340.822,0.133366777224554,0.763719691147491,3.61616590668028,0.483606577538938
18148,SPHERIX INC  -OLD,1972-12-14,2237,2836,"Biological Pds, Ex Diagnstics",0.150000005960464,1,2012-12-31,6.826,5.556364,1.0491,-10.56,4.756,-3.857,-4.51639344262295,4.56908665105386,6.99399972208344,-70.3999972025557
50606,TIDEWATER INC,1970-05-19,10565,4400,"Water Transportation",7.05000019073486,1,2014-03-31,48.62,2417.8726,53.8786,2.84,4885.829,140.255,0.052345986988054,0.821255184027374,7.64235440316831,0.402836868534038
61955,PENN VIRGINIA CORP,1972-12-14,8440,1311,"Crude Petroleum and Natural Gs",0.371899992227554,1,2014-12-31,6.68,476.33076,3.8056,-6.26,2226.434,-409.592,-0.606069394525441,2.2944332563401,10.2328585091001,-16.8324822017466
75033,VOXX INTERNATIONAL CORP,1987-05-29,13354,3651,"Household Audio and Video Eq",6.01999998092651,1,2014-02-28,13,317.642,17.5814,-1.1,747.15,-26.597,-0.0619133859734068,0.739240753845581,2.9204983481236,-0.182724253070629
76215,ICONIX BRAND GROUP INC,1990-01-22,20204,6794,"Patent Owners and Lessors",7.44999980926514,1,2014-12-31,33.79,1620.33187,19.1376,3.07,2867.877,148.843,0.162190640990995,1.96469667779589,2.56880543489406,0.412080547462836
76644,UNITED STATES STEEL CORP,1991-05-07,23978,3312,"Steel Works and Blast Furnaces",8.63000011444092,1,2014-12-31,26.74,3894.8147,26.0822,0.71,12314,102,0.0268491708344301,2.24111608317978,3.02227110708326,0.0822711460700828
76798,EZCORP INC  -CL A,1991-08-27,24430,5900,"Miscellaneous Retail",5.25,1,2014-09-30,9.91,531.02735,15.5324,0.5,1410.544,-64.699,-0.077734818047252,0.667352313577731,2.95855238095238,0.0952380952380952
76858,JOE'S JEANS INC,1991-02-08,23062,2300,"Apparel and Other Finished Pds",0.159999996423721,0,2014-11-30,0.6,41.5788,0.5916,-0.41,203.949,-27.716,-0.676049467034173,3.97472985828231,3.69750008264557,-2.56250005727634
77186,E COM VENTURES INC,1991-12-19,24776,5912,"Drug and Proprietary Stores",2.51999998092651,1,2009-01-31,19.25,172.5955,8.9093,-15.41,400.13,-86.96,-1.08861932124034,4.00907600055082,3.53543653469568,-6.11507941136345
78877,CHESAPEAKE ENERGY CORP,1993-02-05,27786,1311,"Crude Petroleum and Natural Gs",4.44999980926514,1,2014-12-31,19.57,12981.3681,20.8659,1.93,40751,1917,0.113411820386914,1.33384606282908,4.68896649311222,0.433707883758025
79039,U S ENERGY CORP/WY,1975-02-26,10938,1311,"Crude Petroleum and Natural Gs",0.19370000064373,1,2014-12-31,1.48,41.51104,3.829,-0.08,123.523,-2.091,-0.0194701801759858,0.150174589133572,19.7676819167525,-0.413009807610393
79444,TALOS ENERGY INC,1993-07-09,28564,1311,"Crude Petroleum and Natural Gs",4.17000007629395,0,2014-12-31,16.88,926.17184,20.0773,-3.6,3018.611,-189.543,-0.172061078265037,1.74019860149255,4.81470015171883,-0.863309336722955
81165,MIND TECHNOLOGY INC,1994-12-19,31214,3829,"Meas and Controlling Dev, Nec",3.22000002861023,1,2014-01-31,15.1,193.7632,13.283,0.37,205.419,4.768,0.027973340842955,0.205171078569417,4.12515524285042,0.114906831277171
81184,UNVL STAINLESS & ALLOY PRODS,1994-12-14,31170,3312,"Steel Works and Blast Furnaces",8.86999988555908,1,2014-12-31,25.15,178.0117,28.7694,0.58,364.557,4.05,0.0198890143888425,0.790291214457595,3.2434498727377,0.0653889523656338
83244,CENTURY ALUMINUM CO,1996-03-29,62516,3350,"Rolling and Draw Nonfer Metal",4.75,1,2014-12-31,24.4,2173.186,12.2511,1.16,2014.035,112.494,0.103097016259038,0.8457962126093,2.57917894736842,0.244210526315789
86799,CNX RESOURCES CORPORATION,1999-04-30,120093,1311,"Crude Petroleum and Natural Gs",8.64999961853027,0,2014-12-31,33.81,7785.25965,23.1449,0.73,11759.53,163.09,0.030601610895517,1.20651518409564,2.67571110065928,0.0843930673055954
89901,WHITING PETROLEUM CORP,2003-11-20,155393,1311,"Crude Petroleum and Natural Gs",10.0799999237061,1,2014-12-31,33,5507.337,34.1243,0.53,14019.504,64.807,0.0113796832083869,1.46031570995759,3.38534724784537,0.0525793654773298
90162,GENWORTH FINANCIAL INC,2004-05-25,158354,6311,"Life Insurance",3.9300000667572,1,2014-12-31,8.5,4221.95,30.0443,-2.51,111358,-1244,-0.0833612544394559,6.33659451852845,7.64485992103068,-0.638676833934789
90494,HIGHPOINT RESOURCES CORP,2004-12-10,162459,1311,"Crude Petroleum and Natural Gs",4.19999980926514,0,2014-12-31,11.39,548.07541,21.3946,0.31,2244.484,15.081,0.0146490294204498,1.18019442674417,5.09395261228437,0.0738095271614404
