permno,full_name,Beg_Dat,gvkey,sic,industry,LastPrice,In_Reduced,datadate,prcc_f,mkvalt,bkvlps,epspx,at,ni,roe,dte,btm,etm
10002,BANCTRUST FINANCIAL GRP INC,1986-01-10,19049,6020,"Commercial Banks",2.80999994277954,1,2008-12-31,14.76,257.6358,13.7146,0.07,2088.177,1.256,0.00434019378827042,6.21583825175888,4.88064066878025,0.0249110325357369
10514,KASPIEN HOLDINGS INC,1986-07-24,12421,5961,"Catalog, Mail-Order Houses",1.54999995231628,0,2009-01-31,0.76,23.76444,7.5159,-2.21,487.036,-68.955,-0.293406803821033,1.07236133863796,4.84896789110763,-1.42580649547597
10825,SOUTH FINANCIAL GROUP INC,1986-11-06,17640,6020,"Commercial Banks",0.662000000476837,0,2008-12-31,4.32,322.46208,13.8636,-7.77,13602.326,-547.118,-0.337616497308598,7.393746247372,20.9419939426195,-11.7371601123917
11750,ROYAL BANCSHARES/PA  -CL A,1987-09-04,17168,6020,"Commercial Banks",1.24000000953674,0,2008-12-31,3.33,43.09686,6.1572,-2.86,1175.586,-38.082,-0.47789476326126,13.7287261410268,4.96548383277861,-2.30645159516449
20053,SYNOVUS FINANCIAL CORP,1978-08-10,13041,6020,"Commercial Banks",2.11999988555908,1,2008-12-31,8.3,2741.7722,8.5347,-1.77,35786.269,-582.438,-0.153792896942773,8.44083135691725,4.02580210411156,-0.834905705446876
31078,COBRA ELECTRONICS CORP,1974-04-26,4128,3663,"Radio, TV Broadcast, Comm Eq",1.55999994277954,1,2008-12-31,1.05,6.79455,6.5724,-2.91,78.998,-18.839,-0.442957912062074,0.856901011051023,4.21307707761167,-1.86538468380652
68742,MERIDIAN RESOURCE CORP,1985-11-26,12046,1311,"Crude Petroleum and Natural Gs",0.259999990463257,0,2008-12-31,0.57,53.03622,1.3167,-2.3,304.575,-209.886,-1.71320126356001,1.48610328868428,5.06423095498565,-8.84615417062884
69586,SEACOAST BANKING CORP/FL,1984-02-02,17184,6020,"Commercial Banks",1.63999998569489,1,2008-12-31,6.6,126.5352,8.6585,-2.41,2314.436,-45.597,-0.211096244924792,9.71493187531539,5.27957321678346,-1.46951220793996
76331,WEST COAST BANCORP/OR,1990-03-14,17780,6020,"Commercial Banks",2.0699999332428,0,2008-12-31,6.59,103.43664,12.6266,-0.41,2516.14,-6.313,-0.0318537542825715,11.6957873119831,6.09980696000291,-0.198067639237894
77501,CORNERSTNE BULDNG BRNDS INC,1992-04-03,25130,3448,"Prefab Metal Bldgs and Comp",1.97000002861023,1,2008-10-31,18.61,367.24974,31.6119,4.08,1380.701,78.881,0.126446510181476,1.21326837963609,16.0466495131481,2.07106595976971
77898,CASCADE FINANCIAL CORP,1992-09-16,25719,6020,"Commercial Banks",2.46000003814697,0,2008-12-31,5.44,65.66624,10.0366,0.16,1637.319,2.09,0.0130525474325827,9.22544684677933,4.07991863592011,0.0650406493979253
78018,CONSUMER PORTFOLIO SVCS INC,1992-10-22,25852,6159,"Misc Business Credit Instn",1.00999999046326,0,2008-12-31,0.395,7.548845,4.7014,-1.36,1638.807,-26.091,-0.290387205199835,17.239568609556,4.6548515291011,-1.34653466617975
78195,PVF CAPITAL CORP,1992-12-30,26067,6035,"Savings Instn,Fed Chartered",1.88999998569489,1,2008-06-30,7.3,56.7502,8.8854,-0.14,867.402,-1.101,-0.0159391965255157,11.5573941368078,4.70126987685301,-0.074074074634729
79259,PAR PACIFIC HOLDINGS INC,1993-06-11,22447,2911,"Petroleum Refining",1.17999994754791,0,2008-12-31,4.76,492.12688,7.2296,-4.74,1895.414,-451.996,-0.604711709168554,1.49687941915053,6.12677993335798,-4.01694933109948
79672,ZALE CORP,1993-10-21,11669,5944,"Jewelry Stores",2.47000002861023,1,2008-07-31,22.12,699.25744,18.9422,0.09,1422.622,10.801,0.0180377421509686,1.37578824315297,7.66890679376146,0.0364372465415069
