permno,full_name,Beg_Dat,gvkey,sic,industry,LastPrice,In_Reduced,datadate,filedate,prcc_f,mkvalt,bkvlps,epspx,at,ni,roe,dte,btm,etm
10002,BANCTRUST FINANCIAL GRP INC,1986-01-10,19049,6020,"Commercial Banks",2.80999994277954,1,2008-12-31,2009-02-16,14.76,257.6358,13.7146,0.07,2088.177,1.256,0.00434019378827042,6.21583825175888,4.88064066878025,0.0249110325357369
20053,SYNOVUS FINANCIAL CORP,1978-08-10,13041,6020,"Commercial Banks",2.11999988555908,1,2008-12-31,2009-01-22,8.3,2741.7722,8.5347,-1.77,35786.269,-582.438,-0.153792896942773,8.44083135691725,4.02580210411156,-0.834905705446876
31078,COBRA ELECTRONICS CORP,1974-04-26,4128,3663,"Radio, TV Broadcast, Comm Eq",1.55999994277954,0,2008-12-31,2009-02-27,1.05,6.79455,6.5724,-2.91,78.998,-18.839,-0.442957912062074,0.856901011051023,4.21307707761167,-1.86538468380652
69586,SEACOAST BANKING CORP/FL,1984-02-02,17184,6020,"Commercial Banks",1.63999998569489,1,2008-12-31,2009-01-27,6.6,126.5352,8.6585,-2.41,2314.436,-45.597,-0.211096244924792,9.71493187531539,5.27957321678346,-1.46951220793996
76331,WEST COAST BANCORP/OR,1990-03-14,17780,6020,"Commercial Banks",2.0699999332428,1,2008-12-31,2009-01-19,6.59,103.43664,12.6266,-0.41,2516.14,-6.313,-0.0318537542825715,11.6957873119831,6.09980696000291,-0.198067639237894
77783,ANCHOR BANCORP WISCONSIN INC,1992-07-16,25570,6035,"Savings Instn,Fed Chartered",0.620000004768372,1,2009-03-31,2009-06-26,1.35,29.1195,6.469,-10.94,5273.055,-228.311,-1.06826657183899,23.6706874850857,10.4338708874958,-17.645161154615
77898,CASCADE FINANCIAL CORP,1992-09-16,25719,6020,"Commercial Banks",2.46000003814697,0,2008-12-31,2009-01-27,5.44,65.66624,10.0366,0.16,1637.319,2.09,0.0130525474325827,9.22544684677933,4.07991863592011,0.0650406493979253
79259,PAR PACIFIC HOLDINGS INC,1993-06-11,22447,2911,"Petroleum Refining",1.17999994754791,0,2008-12-31,2009-03-02,4.76,492.12688,7.2296,-4.74,1895.414,-451.996,-0.604711709168554,1.49687941915053,6.12677993335798,-4.01694933109948
79672,ZALE CORP,1993-10-21,11669,5944,"Jewelry Stores",2.47000002861023,0,2008-07-31,2008-08-28,22.12,699.25744,18.9422,0.09,1422.622,10.801,0.0180377421509686,1.37578824315297,7.66890679376146,0.0364372465415069
80112,CASCADE BANCORP,1994-01-21,29613,6020,"Commercial Banks",0.699999988079071,1,2008-12-31,2009-01-29,6.75,189.594,4.8148,-4.82,2278.307,-134.566,-0.995023624841947,15.8465235619903,6.87828583142222,-6.8857144029773
80625,COMMUNITYONE BANCORP,1994-06-14,30328,6020,"Commercial Banks",1.35000002384186,0,2008-12-31,2009-01-29,3.14,35.88392,12.9434,-5.24,2044.434,-59.809,-0.404341624018875,12.821494486773,9.58770353437875,-3.88148141293205
80837,PATRIOT NATIONAL BANCORP INC,1994-08-31,30647,6020,"Commercial Banks",1.49000000953674,1,2008-12-31,2009-03-31,6.85,32.48955,12.3917,-1.5,913.359,-7.112,-0.121005886956818,14.5401878381597,8.31657712797783,-1.00671140295252
83239,BBX CAPITAL CORP -OLD,1996-03-12,16681,6035,"Savings Instn,Fed Chartered",1.25,1,2008-12-31,2009-02-10,5.8,65.1514,21.7189,-19.53,5814.557,-202.639,-0.830596635624344,22.8332773150577,17.37512,-15.624
83365,COST PLUS INC,1996-04-04,62590,5700,"Home Furniture and Equip Store",1.05999994277954,0,2009-01-31,2009-03-19,0.96,21.20352,6.1669,-4.09,444.992,-102.668,-0.753753423048404,2.26697942133046,5.81783050273485,-3.85849077432511
85047,TIB FINANCIAL CORP,1997-06-18,64930,6020,"Commercial Banks",0.680000007152557,0,2008-12-31,2009-03-12,4.44,64.19352,5.8178,-1.49,1610.114,-20.93,-0.172812391631025,12.2942021566458,8.55558814530245,-2.19117644754042
85271,AMERICAN CAPITAL LTD,1997-08-29,65345,6797,"Business Development Company",2.52999997138977,1,2008-12-31,2009-03-02,3.24,663.228,15.4128,-15.29,7910,-3115,-0.987321711568938,1.50713153724247,6.09201587916758,-6.04347832921158
86113,AVALON HOLDINGS CORP,1998-06-23,110802,4955,"Hazardous Waste Management",2.15000009536743,1,2008-12-31,2009-03-20,1.477,5.617031,10.5638,0.19,48.713,0.738,0.0183700901080301,0.212550405735053,4.91339513089402,0.08837208910334
86165,ACCESSITY CORP,1998-06-11,163595,2860,"Industrial Organic Chemicals",0.688000023365021,0,2008-12-31,2009-03-31,0.44,25.41,3.6255,-3.02,616.834,-146.547,-0.699932656073133,1.74157126277027,5.26962191406275,-4.38953473464888
86299,UNITED COMMUNITY FINL CORP,1998-07-09,112410,6036,"Savings Instn, Not Fed Chart",1.42999994754791,1,2008-12-31,2009-02-03,0.9,27.8082,7.6032,-1.26,2618.073,-35.279,-0.150172609748726,10.1443877355559,5.31692327194667,-0.881118913438132
86685,CITIZENS REPUBLIC BANCORP,1985-05-30,3071,6020,"Commercial Banks",0.685000002384186,1,2008-12-31,2009-01-22,2.98,375.47106,10.3282,-4.3,13086.016,-393.052,-0.245454846342489,7.17201298178192,15.0776641810979,-6.27737224092493
