permno,full_name,Beg_Dat,gvkey,sic,industry,LastPrice,In_Reduced,datadate,prcc_f,mkvalt,bkvlps,epspx,at,ni,roe,dte,btm,etm
12570,ITT INC,1925-12-31,5860,3561,"Pumps and Pumping Equipment",24,1,1994-12-31,88.625,9365.181,50.4052,1.46,11035,1022,0.187213775416743,1.02143249679428,2.10021666666667,0.0608333333333333
13152,AMERICAN INDTY FINL CORP,1977-04-01,16647,6331,"Fire, Marine, Casualty Ins",10,1,1994-12-31,10.125,19.713375,17.1741,4.24,131.201,8.249,0.246695376517734,2.9237095520067,1.71741,0.424
22753,CHARMING SHOPPES INC,1972-12-14,2938,5621,"Women's Clothing Stores",2.875,0,1995-01-31,6.375,655.94925,5.431,0.42,840.809,44.689,0.0799700083389702,0.504609696826539,1.88904347826087,0.146086956521739
27617,MAYS (J.W.) INC,1960-09-14,7138,6512,"Operators-Nonres Bldgs",7.6875,0,1994-07-31,6.56199932,14.01643054752,12.9387,-0.02,37.29,-0.307,-0.0111082968484278,0.349278141621739,1.68308292682927,-0.00260162601626016
28717,DATAFLEX CORP,1981-12-10,3772,5045,"Computers and Software-Whsl",3.375,1,1995-03-31,8.125,38.699375,7.1678,0.45,146.581,2.139,0.0626537785588752,3.29352665495021,2.12379259259259,0.133333333333333
30840,CONTINENTAL MATERIALS CORP,1962-07-02,3465,3585,"Air-Cond, Heating, Refrig Eq",12.125,0,1994-12-31,11.625,13.2525,23.4991,1.62,48.162,1.385,0.0517003247601628,0.797827466497443,1.93807010309278,0.13360824742268
31042,CROWN CENTRAL PETROL  -CL B,1962-07-02,3618,2911,"Petroleum Refining",14.75,1,1994-12-31,12,117.636,26.5695,-3.63,704.076,-35.406,-0.135935898272678,1.70319164865373,1.80132203389831,-0.246101694915254
41260,HAWTHORNE FINANCIAL CORP,1972-12-14,16959,6035,"Savings Instn,Fed Chartered",5,1,1994-12-31,5,13,15.7027,-1.14,743.793,-2.963,-0.0725745217625591,17.2181644499963,3.14054,-0.228
42112,PS GROUP HOLDINGS INC,1965-06-21,8248,7359,"Equip Rental and Leasing, Nec",10.75,1,1994-12-31,10.875,65.9895,21.2839,-0.76,361.258,7.236,0.056027440747652,1.79717539933876,1.9798976744186,-0.0706976744186047
43028,SAUCONY INC  -CL B,1982-11-05,5802,3021,"Rubber and Plastics Footwear",3.75,1,1994-12-31,4.75,29.60675,7.5012,0.46,77.082,2.937,0.0628168110362528,0.639525184472249,2.00032,0.122666666666667
44708,FARAH INC,1967-07-17,4573,2320,"Mens,Boys Frnsh, Work Clthng",4.75,0,1994-10-31,8.25,83.16,8.5279,1.16,158.051,10.805,0.125696536801573,0.838636125684904,1.79534736842105,0.244210526315789
50550,TUTOR PERINI CORP,1970-05-12,8486,1540,"Gen Bldg Contractors-Nonres",8.25,1,1994-12-31,9.375,42.13125,23.816,-0.42,482.5,0.303,0.00229495035181665,2.62952836119337,2.88678787878788,-0.0509090909090909
53373,SIEBERT FINANCIAL CORP,1972-12-14,7315,6211,"Security Brokers and Dealers",10,0,1995-03-31,10.49999908,8.93549921708,18.6816,0.6,17.337,0.508,0.0319537048685369,0.0905145301295761,1.86816,0.06
62763,PHOTO CONTROL CORP,1977-07-21,8559,3861,"Photographic Equip and Supply",3.625,0,1994-12-31,6.75,10.22625,6.2766,0.28,12.064,0.459,0.0482700599432117,0.26869281733095,1.73147586206897,0.0772413793103448
65015,ORIOLE HOMES CORP  -CL B,1983-04-04,8184,1531,"Operative Builders",6.125,1,1994-12-31,6.75,31.2255,17.1688,0.89,184.01,4.137,0.0520881860418267,1.31683517369024,2.8030693877551,0.14530612244898
65032,MINOLTA-QMS INC,1983-01-14,8846,3577,"Computer Peripheral Eq, Nec",4.5,1,1994-09-30,9.375,100.059375,8.339,0.28,182.023,2.96,0.0332576796027056,1.04515628862273,1.85311111111111,0.0622222222222222
65752,TEAM INC,1980-10-07,10353,8734,"Testing Laboratories",2,0,1995-05-31,1.75,9.03,3.9386,-1.06,80.058,-5.974,-0.293952664468828,2.93928061801899,1.9693,-0.53
65808,UNITED FOODS  -CL A,1983-12-02,10899,2030,"Can, Frozn, Presrv Fruit and Veg",1.9375,1,1995-02-28,2.31199932,27.26309598144,4.8711,0.19,114.157,2.402,0.0418175487465181,0.98741295264624,2.51411612903226,0.0980645161290323
85439,AMERICAN PACIFIC CORP,1972-12-14,1533,2810,"Indl Inorganic Chemicals",5.5,1,1994-09-30,9.5,77.767,12.1445,-2.38,154.922,-19.337,-0.194507871045617,0.558336267162903,2.20809090909091,-0.432727272727273
