permno,full_name,Beg_Dat,gvkey,sic,industry,LastPrice,In_Reduced,datadate,filedate,prcc_f,mkvalt,bkvlps,epspx,at,ni,roe,dte,btm,etm
10002,BANCTRUST FINANCIAL GRP INC,1986-01-10,19049,6020,"Commercial Banks",1.24000000953674,0,2010-12-31,2011-01-28,2.67,46.76505,6.5047,0.05,2158.148,3.875,0.0236381382297322,12.1650582565729,5.24572576610716,0.0403225803350436
11593,SECURITY NATL FINL CP  -CL A,1987-08-12,17180,6162,"Mortgage Bankers and Loan Corr",1.62999999523163,1,2010-12-31,2011-04-05,2.0001,17.6468823,6.7922,-0.05,465.635,-0.431,-0.00719196368976105,6.76990722199973,4.16699387722072,-0.0306748467155025
16030,A V HOMES INC,1981-01-26,1906,1531,"Operative Builders",7.17999982833862,1,2010-12-31,2011-03-16,19.82,255.69782,33.3342,-3.07,545.451,-35.108,-0.0816379681196154,0.267325512446372,4.64264635055196,-0.427576611893926
51457,OVERSEAS SHIPHOLDING GROUP,1970-11-05,8210,4412,"Deep Sea Frn Trans-Freight",10.9300003051758,0,2010-12-31,2011-02-28,35.42,1077.1222,59.5246,-4.55,4241.103,-134.243,-0.0741615441431975,1.34296572149272,5.44598337950756,-0.416285441258898
59408,BANK OF AMERICA CORP,1972-12-14,7647,6020,"Commercial Banks",5.55999994277954,1,2010-12-31,2011-01-21,13.34,134535.9677,20.9899,-0.37,2264909,-2238,-0.0098051242508149,8.92301794539273,3.77516190935549,-0.0665467632747907
61955,PENN VIRGINIA CORP,1972-12-14,8440,1311,"Crude Petroleum and Natural Gs",5.28999996185303,1,2010-12-31,2011-02-23,16.82,764.16624,21.5768,-1.44,1944.6,-8.423,-0.0085924780367978,0.983727031978749,4.07879019954508,-0.272211722189802
74932,TECUMSEH PRODUCTS CO,1972-12-14,10386,3585,"Air-Cond, Heating, Refrig Eq",4.44999980926514,1,2010-12-31,2011-03-14,13.05,241.164,23.5335,-3.17,761.8,-56.8,-0.130604736721085,0.751667049896528,5.28842719296347,-0.712359581094788
76415,PAULSON CAPITAL CORP,1990-04-23,21499,6211,"Security Brokers and Dealers",0.529999971389771,0,2010-12-31,2011-03-10,1.09,6.2893,3.0322,-0.21,19.681,-1.216,-0.0695016003657979,0.124885688157293,5.72113238430737,-0.396226436483262
77722,TECUMSEH PRODUCTS CO,1992-06-01,10386,3585,"Air-Cond, Heating, Refrig Eq",4.69999980926514,1,2010-12-31,2011-03-14,13.05,241.164,23.5335,-3.17,761.8,-56.8,-0.130604736721085,0.751667049896528,5.00712786277316,-0.67446811247757
77889,FIRST UNITED CORP,1992-09-02,18358,6020,"Commercial Banks",3.16000008583069,1,2010-12-31,2011-03-08,3.43,21.14938,10.6455,-1.91,1696.445,-10.197,-0.106618569636136,16.7378189042242,3.36882902242123,-0.604430363329533
