permno,full_name,Beg_Dat,gvkey,sic,industry,LastPrice,In_Reduced,datadate,prcc_f,mkvalt,bkvlps,epspx,at,ni,roe,dte,btm,etm
10913,FARMERS CAPITAL BANK CORP,1986-12-05,18110,6020,"Commercial Banks",4.88000011444092,1,2009-12-31,10.22,75.41338,15.8866,-6.32,2171.562,-44.742,-0.303898062176095,13.7497537815754,3.25545074332853,-1.29508193684214
11018,FIRST BANCORP P R,1987-01-13,16821,6020,"Commercial Banks",0.46000000834465,0,2009-12-31,2.3,212.8489,7.2459,-3.48,19628.448,-275.187,-0.172092656762116,11.2749685284445,15.7519562359901,-7.5652172540672
11513,FIRST FINANCIAL SERVICE CORP,1987-07-15,16824,6035,"Savings Instn,Fed Chartered",4.07000017166138,1,2009-12-31,9.06,42.6726,13.8285,-1.65,1209.504,-6.709,-0.0788070290842456,13.2073955739322,3.39766570436168,-0.405405388306524
12106,WSB HOLDINGS INC,1988-08-12,17148,6035,"Savings Instn,Fed Chartered",2.29999995231628,1,2009-12-31,2.32,18.22592,6.7282,-0.73,437.954,-5.716,-0.108140832813062,7.28563860983408,2.92530440847365,-0.317391310927999
12166,REPUBLIC FIRST BANCORP INC,1988-11-03,18040,6020,"Commercial Banks",2.44000005722046,1,2009-12-31,4.27,45.54382,6.5877,-1.07,1008.642,-11.442,-0.162842992143914,13.3550324490493,2.69987698586549,-0.438524579880091
75069,INCOME OPPORTUNITY RLTY INVS,1987-05-20,12956,6162,"Mortgage Bankers and Loan Corr",4.15000009536743,1,2009-12-31,8.3999,35.0191831,17.1969,0.22,115.665,0.92,0.0128323151170251,0.613314921750774,4.14383123007553,0.0530120469745488
77889,FIRST UNITED CORP,1992-09-02,18358,6020,"Commercial Banks",3.4300000667572,0,2009-12-31,6,36.864,11.4854,-2.08,1743.736,-11.324,-0.11260266889406,16.3392200147167,3.34851305436229,-0.606413982366618
79672,ZALE CORP,1993-10-21,11669,5944,"Jewelry Stores",4.26000022888184,0,2009-07-31,5.92,189.25648,11.6924,-5.94,1230.972,-189.503,-0.506973110785916,2.29319168630766,2.74469468821343,-1.39436612226641
79851,OLD SECOND BANCORP INC/IL,1993-11-12,19150,6020,"Commercial Banks",1.70000004768372,1,2009-12-31,6.89,95.24736,9.4218,-5.04,2602.151,-65.588,-0.322700950075524,11.802899919802,5.54223513866212,-2.96470579919518
80837,PATRIOT NATIONAL BANCORP INC,1994-08-31,30647,6020,"Commercial Banks",2.09999990463257,1,2009-12-31,1.55,7.38265,7.5291,-5.02,866.417,-23.88,-0.665904464459998,23.160424974206,3.58528587710452,-2.39047629903504
82575,BANNER CORP,1995-11-01,61487,6020,"Commercial Banks",2.3199999332428,1,2009-12-31,2.68,57.08132,13.5087,-2.33,4722.221,-35.764,-0.0882782725459608,10.6561210284157,5.82271568478801,-1.00431037372627
83030,WILMINGTON TRUST CORP,1972-12-14,11513,6020,"Commercial Banks",4.34000015258789,1,2009-12-31,12.34,856.35898,14.1706,-0.33,11097.1,-4.4,-0.0033672610392592,7.49215581235173,3.26511509257672,-0.0760368636861049
83443,BERKSHIRE HATHAWAY,1996-05-09,2176,9997,"Industrial Conglomerates",80.1100006103516,1,2009-12-31,99200,153958.4,84472.9381,5193,297119,8055,0.061440710286647,1.23059907552898,1054.46183318447,64.8233673752959
84140,CENTRUE FINANCIAL CORP,1996-10-01,63687,6020,"Commercial Banks",0.979900002479553,0,2009-12-31,2.6,15.7118,12.7725,-6.61,1312.684,-38.079,-0.337334561754753,10.6288159316809,13.0344932826618,-6.7455862672456
85559,INTERVEST BANCSHARES CORP,1997-11-25,65971,6020,"Commercial Banks",2.9300000667572,1,2009-12-31,3.28,27.12888,22.8575,0.18,2401.204,3.13,0.0146224784400198,10.2177487923608,7.80119436150652,0.0614334456992748
85680,CAPITAL BANK CORP/NC,1997-12-18,65133,6020,"Commercial Banks",2.49000000953674,1,2009-12-31,3.866,43.871368,8.6805,-0.8,1734.668,-6.816,-0.0487605966305398,11.4095432270988,3.48614456496126,-0.321285139331722
85728,EASTERN VA BANKSHARES INC,1998-01-02,66148,6020,"Commercial Banks",3.82719993591309,1,2009-12-31,7.1,42.3657,13.6078,-1.73,1126.283,-8.804,-0.083689803988669,9.70631570942413,3.55554980870198,-0.452027599542499
85751,TIMBERLAND BANCORP INC,1998-01-13,66286,6036,"Savings Instn, Not Fed Chart",3.60989999771118,0,2009-09-30,4.64,31.11584,10.5216,-0.15,701.676,-0.242,-0.00277526118418789,7.04683539948853,2.91465137723236,-0.0415523975996859
86113,AVALON HOLDINGS CORP,1998-06-23,110802,4955,"Hazardous Waste Management",2.73009991645813,1,2009-12-31,2.1,7.9863,10.3602,-0.2,47.757,-0.774,-0.0196446700507614,0.212106598984772,3.7948061671826,-0.073257392080898
86685,CITIZENS REPUBLIC BANCORP,1985-05-30,3071,6020,"Commercial Banks",0.615000009536743,1,2009-12-31,0.69,272.13393,2.6142,-2.75,11931.631,-514.213,-0.386325388644635,7.96416851234677,4.25073164140141,-4.47154464610736
88795,HUTCHINSON TECHNOLOGY INC,1985-08-15,5791,3679,"Electronic Components, Nec",3.71000003814697,0,2009-09-30,7.1,165.8489,12.4438,-6.7,635.487,-155.553,-0.535145902282282,1.18625332847107,3.35412395473055,-1.80592990056853
89317,TRANSCONTINENTAL RLTY INVS,1986-09-10,3410,6512,"Operators-Nonres Bldgs",6.71000003814697,1,2009-12-31,11.91,96.63774,26.4336,-10.22,1608.287,-79.698,-0.350348599010032,5.99111578058923,3.93943365867698,-1.52309984230974
90916,BLUEGREEN VACATNS CORP,1985-11-21,11877,7011,"Hotels and Motels",3.22000002861023,1,2009-12-31,2.42,75.85006,12.3227,0.12,1131.265,-3.572,-0.00924837532040494,1.83322113766409,3.82692543183565,0.0372670804142175
