permno,full_name,Beg_Dat,gvkey,sic,industry,LastPrice,In_Reduced,datadate,filedate,prcc_f,mkvalt,bkvlps,epspx,at,ni,roe,dte,btm,etm
10019,IFR SYSTEMS INC,1986-01-24,11908,3825,"Elec Meas and Test Instruments",0.980000019073486,0,2001-03-31,2001-05-15,2.78125,23.0065,3.7529,0.15,148.885,1.208,0.0389125112743203,3.79593480221621,3.829489721386,0.153061221510805
11593,SECURITY NATL FINL CP  -CL A,1987-08-12,17180,6162,"Mortgage Bankers and Loan Corr",2.39000010490417,1,2000-12-31,2001-05-01,2.3125,10.2929375,6.0079,0.21,208.747,0.896,0.0335066003515201,6.63329718409932,2.51376558003996,0.0878661049299076
14154,READING ENTERTAINMENT,1925-12-31,8975,7830,"Motion Picture Theaters",2,0,2000-12-31,2001-04-10,2.25,16.76025,8.8483,-2.67,116.672,-15.824,-0.19708801952945,0.448305496394276,4.42415,-1.335
14955,CHIQUITA BRANDS INTL INC,1925-12-31,10884,100,"Agriculture Production-Crops",0.600000023841858,1,2000-12-31,2001-04-24,1,66.706,4.7911,-1.68,2416.79,-94.867,-0.162849781046206,3.14868945296742,7.98516634936466,-2.799999888738
17726,CROWN HOLDINGS INC,1929-05-09,3619,3411,"Metal Cans",2.58999991416931,0,2000-12-31,2001-02-15,7.4375,934.313625,16.7885,-1.4,11159,-174,-0.0825035561877667,4.19867235656709,6.48204654685657,-0.540540558453656
19596,UNITED AIRLINES HOLDINGS INC,1934-09-05,10795,4512,"Air Transport, Scheduled",13.1499996185303,1,2000-12-31,2001-01-18,38.9375,2045.7373125,89.4659,4.29,24355,50,0.00867904877625412,3.22756465891338,6.80349069165974,0.326235750908673
27909,CULP INC,1983-08-30,3647,2211,"Brdwoven Fabric Mill, Cotton",3.90000009536743,0,2001-04-30,2001-06-05,4.75,53.29975,10.8548,-0.74,289.58,-8.311,-0.0682336907439944,1.37746506625507,2.78328198322194,-0.189743585103754
30307,DIXON TICONDEROGA CO,1972-12-14,4005,3950,"Pens,Pencils,Oth Artist Matl",1.60000002384186,0,2000-09-30,2001-01-12,4.625,14.652,8.5047,-0.25,86.718,-0.798,-0.029618082618862,2.19808484578555,5.3154374207938,-0.156249997671693
42067,FURMANITE CORP,1965-06-07,6331,1700,"Construction-Special Trade",1.91999995708466,1,2000-12-31,2001-03-05,5.875,182.95925,5.1457,0.2,226.643,17.169,0.103403417269437,0.364998584669867,2.68005214323716,0.104166668994973
42550,NEWMARKET CORP,1965-10-14,4462,2860,"Industrial Organic Chemicals",0.899999976158142,0,2000-12-31,2001-02-08,1.4375,119.9665625,3.1084,0.73,1001.639,60.997,0.235134707975313,2.86117503748848,3.45377786927165,0.811111132598218
42922,HURCO COS INC,1980-08-27,5788,3823,"Industrial Measurement Instr",2.23000001907349,0,2000-10-31,2000-12-06,3.375,20.098125,6.5308,0.85,65.024,5.035,0.129464400503973,0.671954951016945,2.92860984042206,0.381165916022348
46042,ISRAMCO INC,1983-08-16,6194,1311,"Crude Petroleum and Natural Gs",3.67000007629395,0,2000-12-31,2001-04-30,6.4375,16.995,10.0246,0.11,27.843,0.302,0.0114112979406764,0.0520687700736822,2.73149858081831,0.0299727514205069
