permno,full_name,Beg_Dat,gvkey,sic,industry,LastPrice,In_Reduced,datadate,filedate,prcc_f,mkvalt,bkvlps,epspx,at,ni,roe,dte,btm,etm
18438,STARRETT (L.S.) CO  -CL A,1929-10-17,10030,3420,"Cutlery, Handtools,Gen Hrdwr",9.30000019073486,1,2015-06-30,2015-08-25,15,105.195,16.3168,0.75,212.272,5.244,0.04582714323167,0.855038014506685,1.75449458767277,0.0806451596363609
26084,COMPUTER TASK GROUP INC,1980-03-20,3342,7370,"Cmp Programming, Data Process",4.21000003814697,1,2015-12-31,2016-02-23,6.62,104.19218,7.4793,0.42,163.077,6.51,0.0553021228879431,0.385330920767604,1.77655580338,0.0997624694048371
26201,COMTECH TELECOMMUN,1972-12-14,3358,3663,"Radio, TV Broadcast, Comm Eq",11.8500003814697,1,2015-07-31,2015-09-28,28.81,464.76292,24.8828,1.43,473.877,23.245,0.0579085172479939,0.180534068742853,2.09981427839531,0.120675101600515
49488,LSB INDUSTRIES INC,1969-11-04,6528,2810,"Indl Inorganic Chemicals",8.42000007629395,0,2015-12-31,2016-02-29,7.25,169.621,16.3945,-1.67,1361.827,-34.765,-0.0580527409109429,1.27406270664538,1.94709024364,-0.198337290364378
55213,RUBY TUESDAY INC,1972-12-14,7566,5812,"Eating Places",3.23000001907349,1,2016-05-31,2016-08-11,3.88,233.33156,6.7809,-0.83,837.917,-50.682,-0.124287606062092,1.0548261317377,2.09934983280436,-0.256965942755035
59089,BRISTOW GROUP INC,1972-12-14,8092,4522,"Air Transport, Nonscheduled",20.4799995422363,0,2016-03-31,2016-05-25,18.92,661.76484,42.8627,-2.12,3271.862,-73.94,-0.0493193739627857,1.16494642504576,2.09290532021758,-0.103515627313755
75175,MBIA INC,1987-07-01,13561,6351,"Surety Insurance",10.6999998092651,1,2015-12-31,2016-02-29,6.48,981.9144,24.609,1.06,14855,180,0.0482703137570394,2.98042370608742,2.2999065830535,0.0990654223266573
78451,OPPENHEIMER HOLDINGS INC,1982-11-01,13453,6211,"Security Brokers and Dealers",18.6000003814697,1,2015-12-31,2016-01-29,17.38,231.81444,38.8408,0.14,2692.964,1.962,0.00378722073590216,4.18463183658973,2.08821501093598,0.00752688156606036
81184,UNVL STAINLESS & ALLOY PRODS,1994-12-14,31170,3312,"Steel Works and Blast Furnaces",13.5100002288818,1,2015-12-31,2016-01-27,9.29,66.06119,26.0128,-2.92,298.555,-20.672,-0.111754434335079,0.614011471696481,1.92544778381199,-0.216136191749101
81588,TAITRON COMPONENTS  -CL A,1995-04-19,31738,5065,"Electronic Parts,Eq-Whsl,Nec",1.20000004768372,0,2015-12-31,2016-03-30,0.9785,5.4120835,2.7304,-0.11,18.049,-0.587,-0.0388690239703351,0.188253211495166,2.27533324291971,-0.0916666630241604
83565,MEDALLION FINANCIAL CORP,1996-05-23,62919,6159,"Misc Business Credit Instn",3.01999998092651,1,2015-12-31,2016-02-17,7.04,171.40288,11.4219,1.21,689.05,29.376,0.105635626132735,1.47781277868876,3.78208611660185,0.400662254186102
84808,GULFMARK OFFSHORE INC,1997-05-21,5379,4412,"Deep Sea Frn Trans-Freight",1.75,1,2015-12-31,2016-03-01,4.67,120.44864,27.0746,-8.7,1370.27,-215.235,-0.308223591882092,0.962271662361021,15.4712,-4.97142857142857
88284,COMMUNITY HEALTH SYSTEMS INC,2000-06-09,23714,8062,"Gen Med and Surgical Hospitals",5.59000015258789,1,2015-12-31,2016-02-15,26.53,2991.44321,35.643,1.69,26861,158,0.039313262005474,5.52002985817368,6.37620733936815,0.302325573142894
89029,MOSYS INC,2001-06-28,141278,3674,"Semiconductor,Related Device",0.230100005865097,1,2015-12-31,2016-02-10,1.09,71.39064,0.6846,-0.5,48.692,-31.483,-0.702102986106465,0.0858812247719721,2.97522808583224,-2.17296821927567
89317,TRANSCONTINENTAL RLTY INVS,1986-09-10,3410,6512,"Operators-Nonres Bldgs",12.1549997329712,1,2015-12-31,2016-03-30,10.3,89.7954,22.568,-1.08,1110.204,-7.636,-0.0369338518389537,4.28129413585621,1.85668453276744,-0.0888523260984064
89332,DOVER DOWNS GAMING & ENTMT,2002-04-01,147657,7990,"Misc Amusement and Rec Service",1.02999997138977,1,2015-12-31,2016-01-28,0.9712,31.9155744,3.4997,0.06,173.957,1.873,0.0162858235948804,0.512564343350028,3.39776708467077,0.0582524288025392
90993,INTERCONTINENTAL EXCHANGE,2005-11-16,163610,6200,"Security and Commodity Brokers",56.4199981689453,1,2015-12-31,2016-02-04,256.26,30494.94,124.437,11.45,77987,1274,0.0860345759049163,4.26202052944354,2.20554774970717,0.202942225657538
