permno,full_name,Beg_Dat,gvkey,sic,industry,LastPrice,In_Reduced,datadate,prcc_f,mkvalt,bkvlps,epspx,at,ni,roe,dte,btm,etm
11625,FIRST CALIF FINL GROUP INC,1987-08-21,17069,6020,"Commercial Banks",4.75,1,1997-12-31,12,4.068,15.0147,0.4,119.405,0.132,0.0106109324758842,8.59847266881029,3.16098947368421,0.0842105263157895
18286,RAYTECH CORP,1929-09-19,8964,3490,"Misc Fabricated Metal Prods",2.875,1,1997-12-31,5.375,17.656875,14.7525,4.76,153.385,15.538,0.32062234327927,2.1650571581858,5.13130434782609,1.65565217391304
24097,CLINICAL DATA INC,1983-04-27,3116,2836,"Biological Pds, Ex Diagnstics",1.5,1,1998-03-31,3.18699932,4.63389701128,3.1919,0.08,9.405,0.104,0.0224089635854342,1.02650290885585,2.12793333333333,0.0533333333333333
48901,MIDLAND CO,1969-08-06,7369,6331,"Fire, Marine, Casualty Ins",24,1,1997-12-31,63,195.993,63.332,8.16,760.463,17.55,0.0890745383857968,2.85970887091044,2.63883333333333,0.34
68398,ECC INTERNATIONAL CP,1980-02-21,4223,3690,"Misc Elec Machy,Eq,Supplies",2.5625,1,1997-06-30,5.25,42.24675,5.66,-0.57,82.034,-8.535,-0.187392965353708,0.801124138233873,2.20878048780488,-0.222439024390244
83345,WISER OIL CO,1972-12-14,11558,1311,"Crude Petroleum and Natural Gs",2,1,1997-12-31,14.125,126.447,10.8829,0.37,254.556,3.319,0.0340675808835605,1.61286746592215,5.44145,0.185
91687,SANDS REGENT,1985-01-31,9397,7990,"Misc Amusement and Rec Service",0.9375,1,1997-06-30,3.125,14.059375,7.2136,-0.17,61.053,-0.762,-0.0234793862081716,0.881216491033463,7.69450666666667,-0.181333333333333
