permno,full_name,Beg_Dat,gvkey,sic,industry,LastPrice,In_Reduced,datadate,filedate,prcc_f,mkvalt,bkvlps,epspx,at,ni,roe,dte,btm,etm
10779,BK TECHNOLOGIES CORP,1978-10-03,1117,3663,"Radio, TV Broadcast, Comm Eq",0.40625,0,1999-12-31,2000-04-03,3.125,15.90625,1.2528,-0.45,22.853,-2.294,-0.359730280696252,2.58366002822644,3.08381538461538,-1.10769230769231
10886,DIXIE GROUP INC,1986-11-25,4001,2273,"Carpets and Rugs",2.375,1,1999-12-31,2000-02-15,7.375,89.746375,9.6894,1.09,391.901,17.191,0.145797642269528,2.32372996353151,4.07974736842105,0.458947368421053
12458,RYERSON HOLDING CORP,1925-12-31,5968,5051,"Metals Service Centers-Whsl",8.25,1,1999-12-31,2000-01-24,19.4375,481.544625,28.0294,1.56,1387.2,55.7,0.0798222986529092,0.987962166809974,3.39750303030303,0.189090909090909
21338,FEDERAL-MOGUL HOLDINGS CORP,1940-07-22,4600,3714,"Motor Vehicle Part,Accessory",2.3125,0,1999-12-31,2000-02-02,20.125,1417.262875,28.9905,3.96,9945.2,243.2,0.117193523515806,3.77298573631457,12.5364324324324,1.71243243243243
30307,DIXON TICONDEROGA CO,1972-12-14,4005,3950,"Pens,Pencils,Oth Artist Matl",2.625,0,1999-09-30,1999-12-02,8.125,27.5925,8.9014,1.95,92.888,6.682,0.22104601541566,2.05517880181283,3.39100952380952,0.742857142857143
34665,NEWCOR INC,1962-07-02,7873,3714,"Motor Vehicle Part,Accessory",0.625,1,1999-12-31,2000-02-09,2.4375,11.8730625,2.6804,-2.36,204.531,-11.58,-0.886948529411765,14.6656709558824,4.28864,-3.776
35238,PEP BOYS-MANNY MOE & JACK,1962-07-02,8475,5531,"Auto and Home Supply Stores",3.625,0,2000-01-31,2000-03-17,7.25,369.7065,12.909,0.58,2072.672,29.303,0.0445142218252304,2.14859847725298,3.56110344827586,0.16
35554,M & T BANK CORP,1972-12-14,4699,6020,"Commercial Banks",68,1,1999-12-31,2000-02-25,414.25,3199.667,232.6574,34.05,22409.115,265.626,0.147812576862251,11.4699729444878,3.42143235294118,0.500735294117647
38295,SPECTRUM BRND HLDG INC,1962-07-02,11670,3634,"Electric Housewares and Fans",1.5625,1,1999-12-31,2000-03-30,4.625,110.486625,8.2986,-0.85,299.814,-20.332,-0.102559963681303,0.216086156019067,5.311104,-0.544
43617,AMERICAN INDEPENDENCE CORP,1966-08-01,10451,6324,"Hospital and Medical Svc Plans",1.8125,0,1999-09-30,1999-11-30,24.375,419.88375,9.5036,-4.2,205.824,-50.009,-0.305474958615592,0.257255251696608,5.24336551724138,-2.31724137931035
48514,IKON OFFICE SOLUTIONS,1969-06-16,1246,5040,"Prof and Coml Eq and Supply-Whsl",2.5,0,1999-09-30,1999-10-27,10.6875,1594.767375,9.788,0.23,5801.313,33.836,0.0231667739329289,2.97203294671834,3.9152,0.092
49496,CRAIG CORP,1969-11-05,3574,7830,"Motion Picture Theaters",2.875,1,1999-12-31,2000-04-14,6.75,23.706,22.926,-1.49,148.006,-15.353,-0.175256555140806,0.429277536157438,7.97426086956522,-0.518260869565217
51625,SERVICE CORP INTERNATIONAL,1970-12-07,9611,7200,"Personal Services",1.75,0,1999-12-31,2000-02-10,6.9375,1887.444,12.8472,-0.13,14601.601,-32.412,-0.00927309540628157,3.17752805002642,7.34125714285714,-0.0742857142857143
54084,ATLANTIC METROPOLITAN CORP,1972-02-01,5442,2221,"Brdwovn Fabric Man Made, Silk",3.875,1,1999-12-31,2000-03-29,12.1875,17.3671875,11.9705,0.76,101.718,1.719,0.09519326614243,4.63284970650127,3.08916129032258,0.196129032258065
54245,MINDEN OIL & GAS,1983-02-22,12688,1311,"Crude Petroleum and Natural Gs",6.8125,0,1999-09-30,1999-12-14,17,43.282,21.0145,3.02,60.796,8.266,0.154496009569557,0.136310113451582,3.08469724770642,0.443302752293578
60353,TAB PRODUCTS,1972-12-14,10312,2522,"Office Furniture, Ex Wood",2.75,0,2000-05-31,2000-07-11,4.8125,25.0586875,10.1171,1.67,73.293,8.574,0.162756264236902,0.39128701594533,3.67894545454545,0.607272727272727
61209,BREEZE-EASTERN CORP,1972-12-14,10692,3537,"Indl Trucks,Tractors,Trailrs",3.1875,1,2000-03-31,2000-05-22,12.25,75.27625,20.9736,1.16,482.755,6.594,0.0511626824329043,2.74568407004803,6.57995294117647,0.363921568627451
61269,PARK OHIO HOLDINGS CORP,1972-12-14,8350,5072,"Hardware-Wholesale",4.875,1,1999-12-31,2000-02-22,9.875,104.309625,14.644,1.52,629.881,16.254,0.105078061867667,3.07202379028348,3.00389743589744,0.311794871794872
65270,RCM TECHNOLOGIES INC,1982-10-26,8892,7363,"Help Supply Services",3.625,1,1999-10-31,2000-01-04,11.5625,121.36,11.6237,1.43,184.048,14.948,0.122522581597023,0.508565433353552,3.20653793103448,0.39448275862069
65293,TERRA INDUSTRIES INC,1983-07-26,5980,2870,"Agricultural Chemicals",2.5,0,1999-12-31,2000-02-10,1.5625,117.6703125,8.7241,-0.94,1601.445,-89.887,-0.136813890977501,1.28032182550434,3.48964,-0.376
