permno,full_name,Beg_Dat,gvkey,sic,industry,LastPrice,In_Reduced,datadate,filedate,prcc_f,mkvalt,bkvlps,epspx,at,ni,roe,dte,btm,etm
24441,COEUR MINING INC,1979-07-25,3153,1040,"Gold and Silver Ores",5.28000020980835,0,2013-12-31,2014-02-20,10.85,1115.84655,16.8273,-6.65,2885.978,-650.563,-0.37592476916525,0.667648811054412,3.18698850972409,-1.25946964692287
27422,CLEVELAND-CLIFFS INC,1960-07-27,3107,3310,"Steel Wrk, RollandFinish Mill",6.30999994277954,0,2013-12-31,2014-02-13,26.21,4013.43246,34.8615,2.39,13121.9,413.5,0.0681275228602027,1.02769585633083,5.52480195184338,0.378763870312685
29050,DAWSON GEOPHYSICAL CO,1981-04-23,3806,1382,"Oil and Gas Field Expl Svcs",11.7399997711182,1,2013-09-30,2013-11-13,32.47,261.61079,26.4441,1.31,289.027,10.48,0.049188022153384,0.356552144935699,2.25247874919518,0.111584329262319
30840,CONTINENTAL MATERIALS CORP,1962-07-02,3465,3585,"Air-Cond, Heating, Refrig Eq",17.5200004577637,1,2013-12-31,2014-04-02,20.69,33.89022,31.7851,-0.52,71.962,-0.859,-0.0164989244007376,0.382183466502766,1.81421798912767,-0.0296803645213132
66739,SILVERBOW RESOURCES INC,1981-07-24,10221,1311,"Crude Petroleum and Natural Gs",4.34999990463257,1,2013-12-31,2014-02-27,13.5,585.927,24.5461,-0.06,2698.505,-2.442,-0.00229220443985545,1.53297507861266,5.64278173290519,-0.0137931037506696
74932,TECUMSEH PRODUCTS CO,1972-12-14,10386,3585,"Air-Cond, Heating, Refrig Eq",3.66000008583069,1,2013-12-31,2014-03-04,9.05,167.244,11.3799,-1.86,487.4,-37.5,-0.178316690442225,1.31764146457442,3.10926222216663,-0.50819670939375
75033,VOXX INTERNATIONAL CORP,1987-05-29,13354,3651,"Household Audio and Video Eq",9.27000045776367,1,2014-02-28,2014-05-14,13,317.642,17.5814,-1.1,747.15,-26.597,-0.0619133859734068,0.739240753845581,1.89659106060513,-0.118662345812372
75175,MBIA INC,1987-07-01,13561,6351,"Surety Insurance",9.68000030517578,1,2013-12-31,2014-03-03,11.94,2295.45306,17.0508,1.3,16953,250,0.0762660158633313,4.1653447223917,1.76144622545964,0.134297516427237
75215,CASH AMERICA INTL INC,1987-01-29,13032,5900,"Miscellaneous Retail",22.1499996185303,0,2013-12-31,2014-01-23,38.3,1072.783,38.6442,4.97,2081.741,142.528,0.131674955170021,0.923223176152022,1.7446591722589,0.224379236369927
77175,AMERICAN SUPERCONDUCTOR CP,1991-12-12,24795,3621,"Motors and Generators",0.799600005149841,0,2014-03-31,2014-06-05,1.61,126.98553,1.4233,-0.9,168.509,-56.258,-0.501144674369093,0.501073410595142,1.78001499603953,-1.12556277414148
78451,OPPENHEIMER HOLDINGS INC,1982-11-01,13453,6211,"Security Brokers and Dealers",23.2700004577637,1,2013-12-31,2014-01-31,24.78,333.98484,38.7682,1.85,2952.72,25.061,0.0479619840847588,4.64069945915739,1.66601629726507,0.0795015025185689
81165,MIND TECHNOLOGY INC,1994-12-19,31214,3829,"Meas and Controlling Dev, Nec",5.76999998092651,1,2014-01-31,2014-04-02,15.1,193.7632,13.283,0.37,205.419,4.768,0.027973340842955,0.205171078569417,2.30207973031347,0.0641247835741912
81925,GRAFTECH INTERNATIONAL LTD,1995-08-10,61153,3620,"Electrical Indl Apparatus",4.82999992370605,1,2013-12-31,2014-02-27,11.23,1521.67623,9.7472,-0.2,2217.848,-27.259,-0.0206390464804441,0.679235040117388,2.01805386210462,-0.0414078681488964
82196,DENBURY INC,1995-08-25,20653,1311,"Crude Petroleum and Natural Gs",8.13000011444092,1,2013-12-31,2014-02-20,16.43,5955.95715,14.6244,1.12,11788.737,409.597,0.0772619565451128,1.22370009012703,1.79881916287103,0.137761375674596
84776,GENERAL CABLE CORP/DE,1997-05-16,25405,3350,"Rolling and Draw Nonfer Metal",14.960000038147,1,2013-12-31,2014-02-12,29.41,1458.70659,25.811,-0.37,4578.9,-17.8,-0.0139040774878925,2.48562724574285,1.72533422019944,-0.0247326202577891
84808,GULFMARK OFFSHORE INC,1997-05-21,5379,4412,"Deep Sea Frn Trans-Freight",24.2600002288818,1,2013-12-31,2014-02-24,47.13,1254.41208,39.9512,2.7,1773.292,70.606,0.0664001482120975,0.667660703386778,1.64679305948388,0.111294310574063
85757,AEROCENTURY CORP,1998-01-16,66301,7359,"Equip Rental and Leasing, Nec",8.64999961853027,1,2013-12-31,2014-03-11,17.18,26.50874,31.8192,2.08,164.065,3.218,0.0655437195755341,2.34165020266004,3.67852039343863,0.24046243835019
86113,AVALON HOLDINGS CORP,1998-06-23,110802,4955,"Hazardous Waste Management",2.6800000667572,0,2013-12-31,2014-03-25,5.2,19.7756,10.6285,0.12,55.579,0.438,0.0108362196932212,0.299579416130628,3.96585811016807,0.0447761182876387
