permno,full_name,Beg_Dat,gvkey,sic,industry,LastPrice,In_Reduced,datadate,prcc_f,mkvalt,bkvlps,epspx,at,ni,roe,dte,btm,etm
37022,SUNAIR SERVICES CORP,1962-07-02,10159,700,"Agricultural Services",2.125,1,1995-09-30,2.5,9.83,3.4092,0.04,13.981,0.167,0.0124580380455054,0.0429690414024618,1.60432941176471,0.0188235294117647
58173,EKCO GROUP INC,1972-12-14,2872,3460,"Metal Forgings and Stampings",4.25,1,1995-12-31,5.875,108.18225,7.3816,0.4,304.375,8.045,0.0577186600948466,1.18015826894241,1.73684705882353,0.0941176470588235
58376,AYDIN CORP,1975-04-09,1923,3663,"Radio, TV Broadcast, Comm Eq",9.5,1,1995-12-31,15.125,77.319,20.4564,0.77,166.86,3.93,0.0375814024652635,0.594771116827479,2.15330526315789,0.0810526315789474
61532,CROWN CENTRAL PETROL  -CL B,1980-01-07,3618,2911,"Petroleum Refining",12,1,1995-12-31,14.625,145.562625,19.039,-6.95,583.214,-70.624,-0.37269584949471,2.07772764452888,1.58658333333333,-0.579166666666667
62763,PHOTO CONTROL CORP,1977-07-21,8559,3861,"Photographic Equip and Supply",3.125,1,1995-12-31,3.625,5.829,5.704,-0.37,12.595,-0.582,-0.0634539904055822,0.373201046663759,1.82528,-0.1184
66617,RESOURCE AMERICA INC,1982-05-17,9083,6282,"Investment Advice",18.5,0,1995-09-30,20.99997921,13.96498617465,39.9263,3.47,37.55,2.714,0.102218372189371,0.414259349930323,2.15817837837838,0.187567567567568
68559,SAGE LABORATORIES INC,1982-06-30,9366,3679,"Electronic Components, Nec",12.25,0,1995-06-30,58.99999619,13.39299913513,37.3921,5.99,11.611,1.389,0.163642789820924,0.367931196983977,3.05241632653061,0.488979591836735
91687,SANDS REGENT,1985-01-31,9397,7990,"Misc Amusement and Rec Service",3,1,1995-06-30,5.25,23.61975,7.0791,-2.54,66.253,-11.428,-0.358818173255047,1.08022229897328,2.3597,-0.846666666666667
