permno,full_name,Beg_Dat,gvkey,sic,industry,LastPrice,In_Reduced,datadate,filedate,prcc_f,mkvalt,bkvlps,epspx,at,ni,roe,dte,btm,etm
10019,IFR SYSTEMS INC,1986-01-24,11908,3825,"Elec Meas and Test Instruments",0.980000019073486,0,2001-03-31,2001-05-15,2.78125,23.0065,3.7529,0.15,148.885,1.208,0.0389125112743203,3.79593480221621,3.829489721386,0.153061221510805
17726,CROWN HOLDINGS INC,1929-05-09,3619,3411,"Metal Cans",2.58999991416931,0,2000-12-31,2001-02-15,7.4375,934.313625,16.7885,-1.4,11159,-174,-0.0825035561877667,4.19867235656709,6.48204654685657,-0.540540558453656
19596,UNITED AIRLINES HOLDINGS INC,1934-09-05,10795,4512,"Air Transport, Scheduled",13.1499996185303,1,2000-12-31,2001-01-18,38.9375,2045.7373125,89.4659,4.29,24355,50,0.00867904877625412,3.22756465891338,6.80349069165974,0.326235750908673
27909,CULP INC,1983-08-30,3647,2211,"Brdwoven Fabric Mill, Cotton",3.90000009536743,0,2001-04-30,2001-06-05,4.75,53.29975,10.8548,-0.74,289.58,-8.311,-0.0682336907439944,1.37746506625507,2.78328198322194,-0.189743585103754
42550,NEWMARKET CORP,1965-10-14,4462,2860,"Industrial Organic Chemicals",0.899999976158142,1,2000-12-31,2001-02-08,1.4375,119.9665625,3.1084,0.73,1001.639,60.997,0.235134707975313,2.86117503748848,3.45377786927165,0.811111132598218
46181,EPOCH HOLDING CORP,1981-10-01,6213,6282,"Investment Advice",2.54999995231628,0,2000-06-30,2000-09-28,12.625,113.309375,9.795,0.73,104.735,6.641,0.0755431691502673,0.162791491297918,3.84117654241631,0.286274515157111
61567,HEXCEL CORP,1972-12-14,5608,2821,"Plastics,Resins,Elastomers",3.11999988555908,0,2000-12-31,2001-01-18,8.9375,331.58125,8.5094,1.47,1211.4,54.2,0.171681976560025,2.83718720304086,2.7273718949112,0.471153863435667
67491,EEX CORP,1985-04-23,13158,1311,"Crude Petroleum and Natural Gs",1.86000001430511,0,2000-12-31,2001-02-22,4.875,205.998,6.8109,-0.25,764.068,2.946,0.0101726168072624,1.6210821095231,3.66177416538598,-0.134408601116812
68145,SBE INC,1976-01-09,9311,3576,"Computer Communications Equipment",0.490599989891052,1,2000-10-31,2000-12-07,8.625,28.54875,4.1779,1.24,17.427,3.97,0.287077879817774,0.260177887048955,8.51589907477941,2.52751737780379
75580,MGC DIAGNOSTICS CORP,1988-08-05,14581,3845,"Electromedical Apparatus",0.720000028610229,1,2000-12-31,2001-04-02,0.625,2.17625,1.9655,-1.79,30.557,4.403,0.64333722969024,3.46478667445938,2.72986100263618,-2.48611101232194
77011,ZOOM TECHNOLOGIES INC -OLD,1990-09-27,23197,3661,"Tele and Telegraph Apparatus",1.22000002861023,1,2000-12-31,2001-02-08,3.3125,26.0395625,4.6746,-0.4,46.96,-3.077,-0.0837347266443519,0.277927449859852,3.83163925440649,-0.327868844770161
90879,PACIFICARE HEALTH SYSTEMS,1985-05-23,12126,6324,"Hospital and Medical Svc Plans",16.1200008392334,1,2000-12-31,2001-02-06,15,501.81,59.89,4.59,5323.436,161.04,0.0803769290662621,1.6561480564595,3.71526035248322,0.284739439270295
