permno,full_name,Beg_Dat,gvkey,sic,industry,LastPrice,In_Reduced,datadate,prcc_f,mkvalt,bkvlps,epspx,at,ni,roe,dte,btm,etm
10886,DIXIE GROUP INC,1986-11-25,4001,2273,"Carpets and Rugs",1.14999997615814,1,2018-12-31,0.7094,11.6072028,3.6049,-1.36,252.778,-21.384,-0.36253899362539,3.28553506035535,3.13469571716259,-1.18260872017008
26607,BIGLARI HOLDINGS INC,1972-12-14,3424,5812,"Eating Places",115.330001831055,1,2018-12-31,113.58,70.53318,918.6071,55.71,1029.493,19.392,0.033993917136321,0.804687486304792,7.96503152185545,0.483048635355167
50550,TUTOR PERINI CORP,1970-05-12,8486,1540,"Gen Bldg Contractors-Nonres",12.6499996185303,1,2018-12-31,15.97,798.91522,36.1647,1.67,4387.752,83.436,0.0461182073395804,1.43704181514578,2.85886965142863,0.13201581425771
67838,CSS INDUSTRIES INC,1985-09-30,2556,2670,"Convrt Papr,Paprbrd,Ex Boxes",4.5,1,2019-03-31,5.99,52.93363,21.4927,-5.97,285.595,-53.545,-0.281918170282892,0.503677651357598,4.77615555555556,-1.32666666666667
78018,CONSUMER PORTFOLIO SVCS INC,1992-10-22,25852,6159,"Misc Business Credit Instn",3.36999988555908,0,2018-12-31,3.01,67.49022,8.7913,0.68,2485.68,14.862,0.0753964630322954,11.6101117097373,2.60869445060575,0.201780422282474
86889,NAUTILUS INC,1999-05-05,27760,3949,"Sporting and Athletic Gds, Nec",1.66999995708466,1,2018-12-31,10.9,322.0405,6.1803,0.5,332.944,14.658,0.0802755810642073,0.823391531030253,3.70077853821567,0.299401205298745
87121,SALEM MEDIA GROUP INC,1999-07-01,121817,4832,"Radio Broadcasting Stations",1.44000005722046,0,2018-12-31,2.09,54.72874,8.4728,-0.12,559.028,-3.192,-0.0143868679265693,1.51963095340043,5.88388865508416,-0.0833333300219642
90313,CHINA AUTOMOTIVE SYSTEMS INC,2004-08-24,149683,3714,"Motor Vehicle Part,Accessory",3.20000004768372,1,2018-12-31,2.44,77.16988,9.039,0.08,690.499,2.377,0.00831476474147973,1.34908369683465,2.82468745790887,0.0249999996274709
90494,HIGHPOINT RESOURCES CORP,2004-12-10,162459,1311,"Crude Petroleum and Natural Gs",1.6599999666214,0,2018-12-31,2.49,521.81685,5.7839,0.64,2252.46,121.22,0.10000841516115,0.858315086733911,3.48427717849415,0.385542176427023
90672,FREIGHTCAR AMERICA INC,2005-04-06,162742,3743,"Railroad Equipment",2.21000003814697,0,2018-12-31,6.69,83.3574,15.5385,-3.26,289.737,-40.581,-0.209601776767729,0.496498114766799,7.0309953537506,-1.47511309670991
91128,GULFPORT ENERGY CORP,2006-02-28,26069,1311,"Crude Petroleum and Natural Gs",2.9300000667572,1,2018-12-31,6.55,1067.5583,20.4175,2.46,6051.036,430.56,0.129384019559056,0.818346711669804,6.9684298753608,0.839590424556756
91262,ATLAS AIR WORLDWIDE HLDG INC,2006-05-31,61155,4522,"Air Transport, Nonscheduled",26.8700008392334,1,2018-12-31,42.19,1079.6421,80.8114,10.6,5534.792,270.567,0.130837384016356,1.67644504449787,3.00749525403832,0.394491986190143
