permno,full_name,Beg_Dat,gvkey,sic,industry,LastPrice,In_Reduced,datadate,prcc_f,mkvalt,bkvlps,epspx,at,ni,roe,dte,btm,etm
10395,NAVIGATORS GROUP INC,1986-06-19,17074,6331,"Fire, Marine, Casualty Ins",48.7000007629395,1,2016-12-31,117.75,1714.6755,80.9084,5.7,4814.037,82.726,0.0702146007258604,3.08596675572999,1.66136342366489,0.117043119316287
30840,CONTINENTAL MATERIALS CORP,1962-07-02,3465,3585,"Air-Cond, Heating, Refrig Eq",19,1,2016-12-31,23.95,40.02045,31.2412,2.21,78.008,3.686,0.070607616274615,0.494291625162823,1.64427368421053,0.116315789473684
59089,BRISTOW GROUP INC,1972-12-14,8092,4522,"Air Transport, Nonscheduled",13.4700002670288,1,2017-03-31,15.21,535.60494,36.6106,-4.87,3113.847,-170.536,-0.132279765778498,1.40608063716688,2.71793610053696,-0.361544165067357
76215,ICONIX BRAND GROUP INC,1990-01-22,20204,6794,"Patent Owners and Lessors",1.28999996185303,1,2016-12-31,9.34,532.72558,6.5809,-4.82,2005.515,-252.134,-0.671725016184765,3.87406521327923,5.10147301907422,-3.73643421901833
77699,FUELCELL ENERGY INC,1992-06-25,25430,3690,"Misc Elec Machy,Eq,Supplies",1.70000004768372,0,2016-10-31,3.35,117.8329,3.1339,-1.82,342.137,-50.957,-0.292431120267657,0.963449696705365,1.84347053652733,-1.07058820526492
79573,UNIVERSAL SECURITY INSTRUMNT,1973-01-23,11027,3669,"Communications Equip, Nec",1.70000004768372,1,2017-03-31,2.95,6.82335,6.153,-0.89,18.387,-2.059,-0.144673974142777,0.291947723440135,3.61941166318411,-0.5235293970801
81165,MIND TECHNOLOGY INC,1994-12-19,31214,3829,"Meas and Controlling Dev, Nec",3.17000007629395,1,2017-01-31,4.855,58.69695,5.9849,-2.79,94.714,-33.153,-0.409640191765927,0.170291108584985,1.88798102711624,-0.88012616178287
86165,ACCESSITY CORP,1998-06-11,163595,2860,"Industrial Organic Chemicals",4.55000019073486,1,2016-12-31,9.5,411.464,8.9553,0,708.238,1.419,0.00365825362860605,0.747575343525226,1.96819771969145,0
86866,TUESDAY MORNING CORP,1999-04-22,11944,5331,"Variety Stores",2.75,0,2016-06-30,7.02,312.81822,5.1005,0.08,361.97,3.713,0.0163365334694344,0.592603021796711,1.85472727272727,0.0290909090909091
90162,GENWORTH FINANCIAL INC,2004-05-25,158354,6311,"Life Insurance",3.10999989509583,1,2016-12-31,3.81,1898.904,25.3692,-0.5,104658,-277,-0.0219076241695666,7.1331066118317,8.15729931052563,-0.160771709603094
91366,SYNCHRONOSS TECHNOLOGIES,2006-06-15,166593,7370,"Cmp Programming, Data Process",8.9399995803833,1,2016-12-31,38.3,1735.8709,14.4985,-1.26,1164.729,19.588,0.0298090897331517,0.696617791406375,1.62175622824564,-0.140939603930717
