permno,full_name,Beg_Dat,gvkey,sic,industry,LastPrice,In_Reduced,datadate,prcc_f,mkvalt,bkvlps,epspx,at,ni,roe,dte,btm,etm
10507,MEDICAL ACTION INDUSTRIES,1986-07-22,7205,3842,"Ortho,Prosth,Surg Appl,Suply",2.69000005722046,0,2012-03-31,5.72,93.75652,9.0786,-0.02,297.144,0.181,0.00121634062913707,0.996841546432627,3.37494416612793,-0.00743494407976546
10645,LAKELAND INDUSTRIES INC,1986-09-09,12597,3842,"Ortho,Prosth,Surg Appl,Suply",4.98999977111816,1,2012-01-31,9.42,49.2195,14.0224,0.21,102.405,-0.377,-0.00514556348697231,0.39769609783395,2.81010032929478,0.0420841702669945
11513,FIRST FINANCIAL SERVICE CORP,1987-07-15,16824,6035,"Savings Instn,Fed Chartered",2.08999991416931,1,2011-12-31,1.53,7.26597,7.0463,-5.11,1228.778,-23.161,-0.433215494828199,21.9837083590521,3.37143554515437,-2.44497617696363
11750,ROYAL BANCSHARES/PA  -CL A,1987-09-04,17168,6020,"Commercial Banks",1.12000000476837,0,2011-12-31,1.25,16.18125,3.142,-0.8,848.448,-8.563,-0.120469893078222,10.868078221722,2.80535713091341,-0.714285711244662
18438,STARRETT (L.S.) CO  -CL A,1929-10-17,10030,3420,"Cutlery, Handtools,Gen Hrdwr",9.5600004196167,0,2011-06-30,10.25,69.0235,22.7707,1.02,227.179,6.845,0.0446399457407818,0.481557083045299,2.38187228038981,0.106694555986316
24193,COAST DISTRIBUTION SYSTEMS,1983-12-13,3129,5013,"Motor Veh Suply,New Pts-Whsl",1.99000000953674,1,2011-12-31,2.25,10.7595,6.3204,-0.2,47.736,-0.886,-0.0293144520910535,0.579407093700371,3.17608038678922,-0.100502512081173
37832,FROZEN FOOD EXPRESS INDS,1972-12-14,4918,4213,"Trucking, Except Local",0.889999985694885,0,2011-12-31,1.29,22.69368,2.4387,-2.08,126.404,-36.67,-0.854738706820195,1.94634282784019,2.74011240359283,-2.33707868924964
43617,AMERICAN INDEPENDENCE CORP,1966-08-01,10451,6324,"Hospital and Medical Svc Plans",4.56699991226196,1,2011-12-31,3.871,32.020912,11.3623,0.29,132.78,2.494,0.0265350200555384,0.412718509612827,2.48791333879672,0.0634990158903611
61955,PENN VIRGINIA CORP,1972-12-14,8440,1311,"Crude Petroleum and Natural Gs",4.34999990463257,1,2011-12-31,5.29,240.6421,18.6043,-2.9,1943.053,-132.915,-0.157052565906779,1.29591437642752,4.27685066847638,-0.666666681282365
65008,AMTECH SYSTEMS INC,1983-08-02,8864,3559,"Special Industry Machy, Nec",3.12199997901917,1,2011-09-30,8,75.448,12.3337,2.41,205.865,22.882,0.196717647159965,0.718145788736148,3.95057658004048,0.771941068608573
74908,SUNLINK HEALTH SYSTEMS INC,1972-12-14,10380,5912,"Drug and Proprietary Stores",1.26999998092651,1,2011-06-30,1.9,15.428,3.2014,-1.9,91.83,-16.103,-0.619465281784959,2.52979419119061,2.52078743943324,-1.4960630145946
74932,TECUMSEH PRODUCTS CO,1972-12-14,10386,3585,"Air-Cond, Heating, Refrig Eq",4.55000019073486,1,2011-12-31,4.7,86.856,15.4708,-3.86,563.7,-73.2,-0.256033578174187,0.971668415529906,3.40017568164131,-0.848351612788961
75033,VOXX INTERNATIONAL CORP,1987-05-29,13354,3651,"Household Audio and Video Eq",6.53999996185303,1,2012-02-29,12.79,295.92223,18.2304,1.11,634.179,25.649,0.0608088725145034,0.503517094716179,2.78752295203908,0.169724771632184
75326,ARCH RESOURCES INC,1988-08-11,14793,1220,"Bituminous Coal, Lignite Mng",7.01999998092651,1,2011-12-31,14.51,3071.34621,16.9038,0.75,10213.959,141.683,0.0395979363003208,1.85140048741769,2.40794872449117,0.106837607127887
76415,PAULSON CAPITAL CORP,1990-04-23,21499,6211,"Security Brokers and Dealers",0.800000011920929,1,2011-12-31,0.53,3.05704,2.4913,-0.54,16.118,-3.124,-0.217397355601949,0.121642310368824,3.11412495359592,-0.674999989941716
77425,USA TRUCK INC,1992-03-19,25069,4213,"Trucking, Except Local",3.33999991416931,1,2011-12-31,7.73,80.73212,12.1574,-1.05,336.191,-10.777,-0.0848769807516618,1.64775698579214,3.63994021329898,-0.314371265563683
77722,TECUMSEH PRODUCTS CO,1992-06-01,10386,3585,"Air-Cond, Heating, Refrig Eq",4.5,1,2011-12-31,4.7,86.856,15.4708,-3.86,563.7,-73.2,-0.256033578174187,0.971668415529906,3.43795555555556,-0.857777777777778
78050,BOOKS-A-MILLION INC,1992-11-03,25896,5940,"Misc Shopping Goods Stores",2.52999997138977,0,2012-01-31,2.43,38.23362,7.2828,-0.16,296.152,-2.823,-0.0246360875484344,1.58449401333473,2.87857710765089,-0.0632411074345228
79039,U S ENERGY CORP/WY,1975-02-26,10938,1311,"Crude Petroleum and Natural Gs",1.51999998092651,0,2011-12-31,2.91,79.7631,4.6254,-0.08,162.439,-4.807,-0.0379157760232211,0.281256655177038,3.04302635397443,-0.0526315796078078
79066,NEW CONCEPT ENERGY INC,1993-03-25,11372,6512,"Operators-Nonres Bldgs",1.20000004768372,1,2011-12-31,2.25,4.38075,3.2758,-6.06,13.45,-11.793,-1.82046928064217,1.0762581043532,2.7298332248595,-5.04999979933102
79322,NORTECH SYSTEMS INC,1993-06-10,3962,3679,"Electronic Components, Nec",3.03499984741211,0,2011-12-31,3.14,8.61302,7.3846,0.43,46.782,1.19,0.0580317955720277,1.28138105920218,2.43314674506383,0.141680402510285
80237,AROTECH CORP,1994-02-24,29762,3690,"Misc Elec Machy,Eq,Supplies",1.04999995231628,1,2011-12-31,1.2,18.684,2.6413,-0.35,81.102,-11.527,-0.28029179331307,0.972085106382979,2.51552392376147,-0.333333348471023
80274,SIGMATRON INTERNATIONAL INC,1994-02-09,29698,3672,"Printed Circuit Boards",4.11999988555908,1,2012-04-30,3.77,14.7407,13.0488,0.29,99.147,1.134,0.0222261421767507,0.943258658199565,3.16718455399406,0.0703883514697349
81148,CAMCO FINANCIAL CORP,1994-12-30,31276,6036,"Savings Instn, Not Fed Chart",2.02999997138977,1,2011-12-31,1.25,9.0075,6.3288,0.03,767.018,0.214,0.0046924679311479,15.8187260168841,3.11763551191934,0.0147783253314341
