permno,full_name,Beg_Dat,gvkey,sic,industry,LastPrice,In_Reduced,datadate,filedate,prcc_f,mkvalt,bkvlps,epspx,at,ni,roe,dte,btm,etm
10568,SERVIDYNE INC,1982-06-29,1082,8700,"Engr,Acc,Resh,Mgmt,Rel Svcs",5.09999990463257,1,2004-04-30,2004-07-28,4.07,12.9426,6.2887,-1.58,61.876,-1.85,-0.0925092509250925,2.09410941094109,1.23307845443049,-0.309803927361805
11593,SECURITY NATL FINL CP  -CL A,1987-08-12,17180,6162,"Mortgage Bankers and Loan Corr",3.30999994277954,0,2003-12-31,2004-03-31,7.45,42.0031,6.9484,1.23,316.91,6.596,0.168372686662412,6.98858966177409,2.09921453780001,0.37160121488314
11622,PROVENA FOODS INC,1987-08-20,13798,2013,"Sausage,Oth Prepared Meat Pd",0.899999976158142,1,2003-12-31,2004-04-13,1.32,4.2372,2.9947,0.01,25.187,0.018,0.00187246437116405,1.62009778425049,3.32744453259162,0.011111111405455
12226,MGP INGREDIENTS INC,1988-10-20,14891,2085,"Distilled and Blended Liquor",8.64000034332275,0,2003-06-30,2003-08-06,8.83,67.85855,13.6908,0.65,173.13,5.154,0.0489840141420669,0.645440894143588,1.58458327036765,0.0752314784920512
12253,FRESH BRANDS INC,1988-12-15,9473,5140,"Groceries and Related Pds-Whsl",7.75,0,2003-12-31,2004-02-27,11,53.977,10.2931,-0.09,181.688,-0.473,-0.00936485309257939,2.59721232280035,1.32814193548387,-0.0116129032258065
15580,ATLANTIC AMERICAN CORP,1972-12-14,16671,6321,"Accident and Health Insurance",3.09999990463257,1,2003-12-31,2004-03-08,3,63.594,4.0926,0.26,443.552,6.844,0.0787635367636058,4.10457689342064,1.32019358900112,0.0838709703221158
17523,SPARTON CORP,1929-03-28,9922,3679,"Electronic Components, Nec",9.01000022888184,0,2003-06-30,2003-08-29,8.7,69.1128,11.4763,1.13,116.014,8.992,0.0986310986310986,0.272529835029835,1.27372915743247,0.125416201031577
18438,STARRETT (L.S.) CO  -CL A,1929-10-17,10030,3420,"Cutlery, Handtools,Gen Hrdwr",20.6000003814697,0,2003-06-30,2003-08-19,12.95,86.247,24.7674,-0.68,219.74,-10.575,-0.0641099478026808,0.332153184885208,1.20230094860964,-0.0330097081265921
20299,CPAC INC,1981-03-31,2561,2842,"Special Clean,Polish Preps",5.40000009536743,1,2004-03-31,2004-06-29,5.6,27.7032,8.7097,-0.68,65.426,-3.35,-0.0777496692737949,0.499199294450762,1.61290737892244,-0.125925923701994
24766,NORTHROP GRUMMAN CORP,1951-12-10,7985,3812,"Srch,Det,Nav,Guid,Aero Sys",54.3600006103516,1,2003-12-31,2004-02-04,95.6,17313.9248,87.1579,4.36,33009,866,0.0548622109597719,1.09033892936332,1.60334619244656,0.0802060329478683
24803,WINN-DIXIE STORES INC,1952-02-18,11535,5411,"Grocery Stores",4.55000019073486,0,2003-06-30,2003-08-07,12.31,1733.46958,7.3038,1.7,2790.431,239.23,0.232599970442507,1.71309688635144,1.6052307019399,0.37362635796405
25786,PURE WORLD INC,1982-01-08,3311,2080,"Beverages",1.55999994277954,0,2003-12-31,2004-03-30,2.511,18.867654,2.086,-0.03,22.572,-0.245,-0.0156309812428225,0.440091871889754,1.33717953622694,-0.0192307699361497
26606,AQUILA INC,1958-09-29,11056,4931,"Electric and Other Serv Comb",3.69000005722046,1,2003-12-31,2004-03-10,3.39,661.90767,6.9617,-1.8,7719.1,-336.4,-0.247480320753329,4.67873170013978,1.88663953713973,-0.487804870484439
27617,MAYS (J.W.) INC,1960-09-14,7138,6512,"Operators-Nonres Bldgs",14.2849998474121,0,2003-07-31,2003-10-16,13.05,26.3088,17.7108,0.57,48.346,1.147,0.0321243523316062,0.354040050413107,1.23981800414289,0.0399019955259756
27909,CULP INC,1983-08-30,3647,2211,"Brdwoven Fabric Mill, Cotton",6.78000020980835,0,2004-04-30,2004-06-16,8.61,99.41967,8.9539,0.63,193.728,7.22,0.0698319969823292,0.873741428170731,1.32063417742182,0.0929203511068635
32062,ELECTRO-SENSORS INC,1981-06-09,4275,3823,"Industrial Measurement Instr",4.07000017166138,0,2003-12-31,2004-03-23,4.15,13.17625,5.6384,-0.05,23.236,-0.144,-0.00804379398949838,0.297955535694336,1.38535620692576,-0.0122850117668644
32299,GOLDFIELD CORP,1962-07-02,5218,1623,"Water,Sewer,Pipeline Constr",0.579999983310699,0,2003-12-31,2004-03-23,0.63,16.50411,0.7625,0.02,24.094,0.366,0.0183229036295369,0.206207759699625,1.31465521024255,0.0344827596129192
